job_id,created_utc,completed_utc,duration_s,status,phase,round,fresh_codex_session,sandbox_mode,config_bytes,message_bytes,output_bytes,error_class
bg-8c66524fcb,2026-08-09T07:55:14.196656+00:00,2026-08-09T07:56:29.836747+00:00,75.640091,triggered,research_review,0,True,read-only,3283,128,4558,
bg-7c3c936676,2026-08-09T07:56:58.646299+00:00,2026-08-09T07:58:22.080353+00:00,83.434054,triggered,other_review,0,True,read-only,3312,159,4623,
bg-1a9504daf4,2026-08-09T08:05:06.120065+00:00,2026-08-09T08:06:02.759807+00:00,56.639742,triggered,research_review,2,True,read-only,2305,134,4532,
bg-085277ffed,2026-08-09T08:14:08.826723+00:00,2026-08-09T08:15:05.570381+00:00,56.743658,triggered,research_review,3,True,read-only,2073,134,4289,
bg-4fca18b069,2026-08-09T08:16:17.588827+00:00,2026-08-09T08:16:39.831693+00:00,22.242866,triggered,research_review,4,True,read-only,2229,140,3644,
bg-a03b6c28b9,2026-08-09T08:38:57.713537+00:00,2026-08-09T08:39:57.723579+00:00,60.010042,triggered,plan_review,0,True,read-only,3566,142,4535,
bg-8adc6bdd50,2026-08-09T08:43:44.717461+00:00,2026-08-09T08:44:10.719385+00:00,26.001924,triggered,plan_review,2,True,read-only,3730,149,4376,
bg-e181b743c8,2026-08-09T08:45:20.498765+00:00,2026-08-09T08:45:38.080578+00:00,17.581813,triggered,plan_review,3,True,read-only,2919,155,4145,
bg-53d0c7b5de,2026-08-09T09:51:30.220292+00:00,2026-08-09T09:52:22.587114+00:00,52.366822,triggered,plan_delta_review,0,True,read-only,3818,149,4207,
bg-829f506150,2026-08-09T09:54:32.314447+00:00,2026-08-09T09:55:13.951059+00:00,41.636612,triggered,plan_delta_review,2,True,read-only,2572,156,4388,
bg-f15ab808a7,2026-08-09T09:56:39.723078+00:00,2026-08-09T09:57:12.295948+00:00,32.57287,triggered,plan_delta_review,3,True,read-only,2023,162,3771,
bg-a13d91c6f1,2026-08-09T09:58:15.302998+00:00,2026-08-09T09:58:48.525128+00:00,33.22213,triggered,plan_delta_review,4,True,read-only,1661,162,3075,
bg-d19244b135,2026-08-09T10:00:17.100162+00:00,2026-08-09T10:00:53.978328+00:00,36.878166,triggered,plan_delta_review,5,True,read-only,1460,162,3996,
bg-8a3966abd9,2026-08-09T10:01:37.459587+00:00,2026-08-09T10:01:58.791153+00:00,21.331566,triggered,plan_delta_review,6,True,read-only,1244,162,3997,
bg-af2c17238c,2026-08-09T10:02:26.355925+00:00,2026-08-09T10:02:42.747218+00:00,16.391293,triggered,plan_delta_review,7,True,read-only,1216,162,3912,
bg-92eccbfdc9,2026-08-09T10:52:28.872508+00:00,,,failed,implementation_review,0,True,default,1408,42,0,ProcessExit2
bg-4080b7b7d3,2026-08-09T10:52:48.208884+00:00,2026-08-09T10:54:09.094298+00:00,80.885414,triggered,implementation_review,1,True,read-only,1424,50,3391,
bg-8d35583a4a,2026-08-09T10:54:29.480131+00:00,2026-08-09T11:09:48.431421+00:00,918.95129,triggered,implementation_review,2,True,bypass,1743,50,3008,
bg-f0ed115297,2026-08-09T12:35:20.259675+00:00,2026-08-09T12:52:12.413178+00:00,1012.153503,triggered,implementation_review,3,True,bypass,2727,50,3032,
bg-972577d3b7,2026-08-09T13:35:50.070342+00:00,2026-08-09T13:39:15.906908+00:00,205.836566,triggered,implementation_review,4,True,bypass,1494,50,3072,
bg-663d7a4b07,2026-08-09T13:43:03.617198+00:00,2026-08-09T13:44:10.568326+00:00,66.951128,triggered,implementation_review,5,True,bypass,1007,50,3011,
