call_id_hash,turn_id,start_utc,end_utc,duration_s,effective_end_utc,effective_duration_s,kind,name,input_bytes,output_bytes,yielded
d0729048b4a3,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:31:38.211+00:00,2026-08-09T07:31:38.321+00:00,0.11,2026-08-09T07:31:38.321+00:00,0.11,tool_discovery,exec,127,41815,False
c74f2d0f73c0,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:31:43.609+00:00,2026-08-09T07:31:43.790+00:00,0.181,2026-08-09T07:31:43.790+00:00,0.181,shell_other,exec,193,198,False
c82d76fa4134,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:31:48.405+00:00,2026-08-09T07:31:49.509+00:00,1.104,2026-08-09T07:31:49.509+00:00,1.104,mcp_wrapper,exec,365,11820,False
abf5b294e4a6,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:00.322+00:00,2026-08-09T07:32:00.553+00:00,0.231,2026-08-09T07:32:00.553+00:00,0.231,read_search_git,exec,435,632,False
ed563c102e9c,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:08.596+00:00,2026-08-09T07:32:08.766+00:00,0.17,2026-08-09T07:32:08.766+00:00,0.17,read_search_git,exec,411,178,False
fbc1d5c17842,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:15.254+00:00,2026-08-09T07:32:17.296+00:00,2.042,2026-08-09T07:32:17.296+00:00,2.042,read_search_git,exec,487,2374,False
25d51e1c4f66,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:26.036+00:00,2026-08-09T07:32:26.185+00:00,0.149,2026-08-09T07:32:26.185+00:00,0.149,read_search_git,exec,216,11380,False
2f0ad9439f33,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:31.299+00:00,2026-08-09T07:32:31.427+00:00,0.128,2026-08-09T07:32:31.427+00:00,0.128,read_search_git,exec,218,12099,False
307bc9414996,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:36.771+00:00,2026-08-09T07:32:37.060+00:00,0.289,2026-08-09T07:32:37.060+00:00,0.289,read_search_git,exec,218,40314,False
c3224c3a7368,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:40.924+00:00,2026-08-09T07:32:41.076+00:00,0.152,2026-08-09T07:32:41.076+00:00,0.152,read_search_git,exec,218,21561,False
753e84c5035f,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:46.435+00:00,2026-08-09T07:32:46.579+00:00,0.144,2026-08-09T07:32:46.579+00:00,0.144,read_search_git,exec,218,37658,False
6618ce7c5e68,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:32:55.493+00:00,2026-08-09T07:32:55.654+00:00,0.161,2026-08-09T07:32:55.654+00:00,0.161,read_search_git,exec,218,29241,False
3707d4a9b697,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:08.205+00:00,2026-08-09T07:33:08.379+00:00,0.174,2026-08-09T07:33:08.379+00:00,0.174,read_search_git,exec,218,24633,False
b1b97a45b877,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:11.960+00:00,2026-08-09T07:33:12.098+00:00,0.138,2026-08-09T07:33:12.098+00:00,0.138,read_search_git,exec,218,20083,False
28110d41ef91,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:28.172+00:00,2026-08-09T07:33:29.259+00:00,1.087,2026-08-09T07:33:29.259+00:00,1.087,read_search_git,exec,444,1740,False
69ae4cceb4ef,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:35.618+00:00,2026-08-09T07:33:36.344+00:00,0.726,2026-08-09T07:33:36.344+00:00,0.726,mcp_wrapper,exec,258,23802,False
3c7cabcb4f3c,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:51.712+00:00,2026-08-09T07:33:51.899+00:00,0.187,2026-08-09T07:33:51.899+00:00,0.187,read_search_git,exec,477,4110,False
3977f4ff96d1,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:33:59.107+00:00,2026-08-09T07:33:59.315+00:00,0.208,2026-08-09T07:33:59.315+00:00,0.208,read_search_git,exec,344,3538,False
436aeb0511a9,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:34:13.631+00:00,2026-08-09T07:34:23.877+00:00,10.246,2026-08-09T07:34:23.877+00:00,10.246,read_search_git,exec,624,123,False
a85cb78c150e,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:34:33.740+00:00,2026-08-09T07:34:33.944+00:00,0.204,2026-08-09T07:34:33.944+00:00,0.204,read_search_git,exec,382,23164,False
34dab65cc6f4,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:34:40.102+00:00,2026-08-09T07:34:40.399+00:00,0.297,2026-08-09T07:34:40.399+00:00,0.297,read_search_git,exec,445,26493,False
f622562f1a86,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:34:47.406+00:00,2026-08-09T07:34:47.581+00:00,0.175,2026-08-09T07:34:47.581+00:00,0.175,read_search_git,exec,381,12290,False
347cf61ebc49,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:34:59.919+00:00,2026-08-09T07:35:06.891+00:00,6.972,2026-08-09T07:35:06.891+00:00,6.972,read_search_git,exec,409,23827,False
6aece76b91c6,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:35:20.904+00:00,2026-08-09T07:35:21.133+00:00,0.229,2026-08-09T07:35:21.133+00:00,0.229,read_search_git,exec,498,668,False
3553bb6dd1cf,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:35:30.466+00:00,2026-08-09T07:35:30.737+00:00,0.271,2026-08-09T07:35:30.737+00:00,0.271,read_search_git,exec,462,375,False
2a1e0c1549e5,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:35:37.949+00:00,2026-08-09T07:35:38.229+00:00,0.28,2026-08-09T07:35:38.229+00:00,0.28,shell_other,exec,578,867,False
4512716dcb3d,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:35:53.030+00:00,2026-08-09T07:35:53.308+00:00,0.278,2026-08-09T07:35:53.308+00:00,0.278,read_search_git,exec,634,122,False
2d4f734bd3f8,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:36:03.494+00:00,2026-08-09T07:36:03.771+00:00,0.277,2026-08-09T07:36:03.771+00:00,0.277,shell_other,exec,635,713,False
f049b1eda511,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:36:14.618+00:00,2026-08-09T07:36:14.842+00:00,0.224,2026-08-09T07:36:14.842+00:00,0.224,read_search_git,exec,630,417,False
1cfe76463e45,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:36:29.357+00:00,2026-08-09T07:36:29.735+00:00,0.378,2026-08-09T07:36:29.735+00:00,0.378,read_search_git,exec,840,6273,False
1d0c5c6a0aad,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:36:42.749+00:00,2026-08-09T07:36:43.047+00:00,0.298,2026-08-09T07:36:43.047+00:00,0.298,shell_other,exec,580,7504,False
8ebfe5bbe275,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:36:56.081+00:00,2026-08-09T07:36:56.326+00:00,0.245,2026-08-09T07:36:56.326+00:00,0.245,shell_other,exec,454,41513,False
31693b183550,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:37:08.392+00:00,2026-08-09T07:37:08.697+00:00,0.305,2026-08-09T07:37:08.697+00:00,0.305,shell_other,exec,422,11044,False
e75e809ece44,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:37:21.975+00:00,2026-08-09T07:37:22.235+00:00,0.26,2026-08-09T07:37:22.235+00:00,0.26,shell_other,exec,426,14239,False
f95ab231c370,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:38:18.219+00:00,2026-08-09T07:38:18.485+00:00,0.266,2026-08-09T07:38:18.485+00:00,0.266,shell_other,exec,426,14202,False
8948a6eabf46,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:38:23.180+00:00,2026-08-09T07:38:23.407+00:00,0.227,2026-08-09T07:38:23.407+00:00,0.227,shell_other,exec,426,7017,False
c5973348e8f9,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:38:36.733+00:00,2026-08-09T07:38:37.046+00:00,0.313,2026-08-09T07:38:37.046+00:00,0.313,shell_other,exec,758,41145,False
3697b2788a2c,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:38:45.720+00:00,2026-08-09T07:38:45.990+00:00,0.27,2026-08-09T07:38:45.990+00:00,0.27,shell_other,exec,756,122,False
860f08bd6da9,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:38:53.093+00:00,2026-08-09T07:38:53.419+00:00,0.326,2026-08-09T07:38:53.419+00:00,0.326,shell_other,exec,726,2009,False
fe0404fe62f7,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:02.756+00:00,2026-08-09T07:39:03.031+00:00,0.275,2026-08-09T07:39:03.031+00:00,0.275,shell_other,exec,648,3355,False
c2a81382657f,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:10.191+00:00,2026-08-09T07:39:10.382+00:00,0.191,2026-08-09T07:39:10.382+00:00,0.191,read_search_git,exec,701,2767,False
1738601cf773,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:14.234+00:00,2026-08-09T07:39:14.400+00:00,0.166,2026-08-09T07:39:14.400+00:00,0.166,read_search_git,exec,268,24432,False
3b8c242a3ff2,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:21.957+00:00,2026-08-09T07:39:22.633+00:00,0.676,2026-08-09T07:39:22.633+00:00,0.676,mcp_wrapper,exec,242,12283,False
0b68935b953c,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:31.594+00:00,2026-08-09T07:39:31.854+00:00,0.26,2026-08-09T07:39:31.854+00:00,0.26,read_search_git,exec,504,22503,False
fd1d1974861d,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:39:37.461+00:00,2026-08-09T07:39:37.648+00:00,0.187,2026-08-09T07:39:37.648+00:00,0.187,read_search_git,exec,507,31438,False
150fcdea33c9,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:40:11.105+00:00,2026-08-09T07:40:11.383+00:00,0.278,2026-08-09T07:40:11.383+00:00,0.278,read_search_git,exec,535,122,False
834616e0f48a,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:40:35.224+00:00,2026-08-09T07:40:35.390+00:00,0.166,2026-08-09T07:40:35.390+00:00,0.166,read_search_git,exec,410,17811,False
a7e750a971df,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:40:43.094+00:00,2026-08-09T07:40:43.268+00:00,0.174,2026-08-09T07:40:43.268+00:00,0.174,read_search_git,exec,325,40594,False
cac7087302fd,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:41:31.239+00:00,2026-08-09T07:41:33.156+00:00,1.917,2026-08-09T07:41:33.156+00:00,1.917,other_exec,exec,412,35817,False
b463f2cf782c,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:41:37.351+00:00,2026-08-09T07:41:40.936+00:00,3.585,2026-08-09T07:41:40.936+00:00,3.585,other_exec,exec,508,39020,False
6fc960185440,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:41:47.478+00:00,2026-08-09T07:41:51.496+00:00,4.018,2026-08-09T07:41:51.496+00:00,4.018,other_exec,exec,284,31812,False
9436a5f61268,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:41:57.177+00:00,2026-08-09T07:41:59.143+00:00,1.966,2026-08-09T07:41:59.143+00:00,1.966,other_exec,exec,317,31028,False
0408df9ffe57,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:42:02.993+00:00,2026-08-09T07:42:04.501+00:00,1.508,2026-08-09T07:42:04.501+00:00,1.508,other_exec,exec,186,33687,False
ae9ef62b1c80,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:44:20.783+00:00,2026-08-09T07:44:20.853+00:00,0.07,2026-08-09T07:44:20.853+00:00,0.07,tool_discovery,exec,148,3469,False
4d8a99b77494,019fe56e-f83e-7162-9fca-c647341fcd87,2026-08-09T07:44:24.188+00:00,2026-08-09T07:44:24.494+00:00,0.306,2026-08-09T07:44:24.494+00:00,0.306,mcp_wrapper,exec,283,16162,False
