turn_no,turn_id,phase,start_utc,end_utc,complete,duration_s,ttft_s,first_model_event_s,tool_count,tool_blocked_union_s,effective_tool_union_s,residual_s,ok,stop_reason,input_tokens,cache_read_tokens,output_tokens,cost_usd,quota_primary_pct,trigger_source,trigger_payload_bytes,queue_to_start_ms,steered_messages
1,019fe56e-f83e-7162-9fca-c647341fcd87,research_build_and_review_submit,2026-08-09T07:31:22.891+00:00,2026-08-09T07:55:16.193+00:00,True,1433.321,11.476,11.415,74,66.762,66.762,1366.559,1,end_turn,8766209,8257792,38147,7.815391,4.0,seedon_orchestrator,5573,1696.473,0
2,019fe585-f722-7100-bd86-78aedfc22c50,research_review_fallback_retry,2026-08-09T07:56:29.893+00:00,2026-08-09T07:57:00.693+00:00,True,30.802,7.305,7.291,2,0.877,0.877,29.925,1,end_turn,409083,403712,1302,0.267771,5.0,background_job,4754,68.059,0
3,019fe587-ad90-7722-bf30-2ae89e6f70d7,research_review_fix_r2,2026-08-09T07:58:22.133+00:00,2026-08-09T08:05:10.694+00:00,True,408.562,1.655,1.653,22,4.017,4.017,404.545,1,end_turn,3416945,3276032,14320,2.772181,6.0,background_job,4850,63.159,0
4,019fe58e-b521-70f3-86e6-9c4f10ba541c,research_review_fix_r3,2026-08-09T08:06:02.831+00:00,2026-08-09T08:14:11.811+00:00,True,488.982,7.111,7.098,15,2.252,2.252,486.73,1,end_turn,2571379,2553856,5752,1.537103,7.0,background_job,4734,83.548,0
5,019fe596-fd74-7573-8660-2b394a40753f,research_review_fix_r4,2026-08-09T08:15:05.617+00:00,2026-08-09T08:16:21.124+00:00,True,75.507,4.958,4.957,6,1.163,1.163,74.344,1,end_turn,1160994,1152256,2315,0.689268,7.0,background_job,4491,54.668,0
6,019fe598-6da0-7b23-a3c7-1c1086eee70a,research_pass_and_gate,2026-08-09T08:16:39.853+00:00,2026-08-09T08:17:55.603+00:00,True,75.75,3.332,3.332,6,9.285,9.285,66.465,1,end_turn,1185693,1178880,2415,0.695955,7.0,background_job,3852,38.813,0
7,019fe59a-f2e6-7e83-8c6d-e3f45a2de84c,plan_build_and_review_r1,2026-08-09T08:19:25.089+00:00,2026-08-09T08:39:00.452+00:00,True,1175.365,10.388,10.31,18,19.035,19.035,1156.33,1,end_turn,3997749,3942912,35197,3.301551,9.0,seedon_orchestrator,920,94.115,0
8,019fe5ad-c229-7480-8f40-d332341e753a,plan_review_fix_r2,2026-08-09T08:39:57.764+00:00,2026-08-09T08:43:53.425+00:00,True,235.663,3.961,3.958,17,8.048,8.048,227.615,1,end_turn,1247987,1176576,6567,1.142353,9.0,background_job,4745,49.501,0
9,019fe5b1-9e69-7051-99fb-55a3ccf26a06,plan_review_fix_r3,2026-08-09T08:44:10.747+00:00,2026-08-09T08:45:23.665+00:00,True,72.918,2.204,2.192,5,6.468,6.468,66.45,1,end_turn,460329,450816,2802,0.357033,9.0,background_job,4593,41.793,0
10,019fe5b2-f3aa-7202-af0f-705b74365592,plan_pass_and_gate,2026-08-09T08:45:38.112+00:00,2026-08-09T08:46:49.448+00:00,True,71.338,4.947,4.941,6,0.995,0.995,70.343,1,end_turn,572128,564352,2706,0.402236,10.0,background_job,4368,36.477,0
11,019fe5cc-768f-7b72-be1a-29e043f6afdf,plan_delta_build_and_review_d1,2026-08-09T09:13:30.061+00:00,2026-08-09T09:51:34.505+00:00,True,2284.457,52.145,18.567,61,22.297,22.297,2262.16,1,end_turn,9181804,8705792,53083,8.325446,14.0,seedon_orchestrator,1101,94.496,1
12,019fe5f0-0e4c-7a30-a775-de93381ec714,plan_delta_fix_d2,2026-08-09T09:52:22.628+00:00,2026-08-09T09:54:39.772+00:00,True,137.146,5.664,5.602,7,1.518,1.518,135.628,1,end_turn,1512426,1500160,4537,0.94752,14.0,background_job,4424,47.137,0
13,019fe5f2-abaa-7240-b34e-9f355926ec91,plan_delta_fix_d3,2026-08-09T09:55:13.995+00:00,2026-08-09T09:56:44.785+00:00,True,90.791,23.232,23.104,3,1.057,1.057,89.734,1,end_turn,777511,772096,2778,0.496463,15.0,background_job,4612,50.019,0
14,019fe5f4-79f5-73f3-ba22-fa8879d4867f,plan_delta_fix_d4,2026-08-09T09:57:12.330+00:00,2026-08-09T09:58:18.432+00:00,True,66.103,13.338,13.313,3,0.937,0.937,65.166,1,end_turn,791070,785408,2334,0.491034,15.0,background_job,4001,43.845,0
