feature,usage evidence,critical negative control/recovery role,current consumers,prompt/tool/UI footprint,maintenance/confusion evidence,deletion blast radius,replacement,verdict,confidence,deletion oracle
mcp_tool:acquire_test_lock,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:acquire_test_lock,schema=799B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:bg_cancel,90d named calls=7; success=7; error=0; unknown=0,critical,app/mcp_stdio.py:bg_cancel,schema=211B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:bg_create,90d named calls=117; success=117; error=0; unknown=0,critical,app/mcp_stdio.py:bg_create,schema=1786B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:bg_list,90d named calls=19; success=19; error=0; unknown=0,critical,app/mcp_stdio.py:bg_list,schema=154B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:change_worker_model,90d named calls=5; success=5; error=0; unknown=0,critical,app/mcp_stdio.py:change_worker_model,schema=320B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:check_conflict,90d named calls=2; success=2; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:check_conflict,schema=435B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,medium,none proposed,DEPRECATE,LIKELY,complete telemetry + compatibility probe + mechanical removal oracle
mcp_tool:codex_review,90d named calls=78; success=74; error=4; unknown=0,critical,app/mcp_stdio.py:codex_review,schema=1587B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:compact_worker,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:compact_worker,schema=454B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:delivery_status,90d named calls=1; success=1; error=0; unknown=0,critical,app/mcp_stdio.py:delivery_status,schema=268B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:get_worker_info,90d named calls=4; success=4; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:get_worker_info,schema=276B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
