feature,function_loc,prompt_anchor_bytes_proxy,frontend_literal_refs,test_files,test_file_count,task_doc_file_count,schema_bytes
mcp_tool:acquire_test_lock,15,0,0,tests/test_db.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,3,0,799
mcp_tool:bg_cancel,6,22,5,,0,0,211
mcp_tool:bg_create,47,44,5,tests/test_mcp_stdio.py,1,0,1786
mcp_tool:bg_list,67,9,4,,0,0,154
mcp_tool:change_worker_model,8,21,5,tests/test_mcp_quota_gate.py;tests/test_reducer_role.py,2,0,320
mcp_tool:check_conflict,13,16,0,tests/test_reducer_role.py,1,0,435
mcp_tool:codex_review,241,168,0,tests/test_codex_bin_resolution.py;tests/test_codex_review_sandbox.py;tests/test_default_pipeline.py;tests/test_mcp_codex_review.py;tests/test_mcp_quota_gate.py;tests/test_mcp_stdio.py;tests/test_model_gates.py,7,0,1587
mcp_tool:compact_worker,10,32,6,tests/test_mcp_codex_review.py;tests/test_reducer_role.py,2,0,454
mcp_tool:delivery_status,20,0,0,tests/test_mcp_stdio.py,1,0,268
mcp_tool:get_worker_info,8,0,6,,0,0,276
mcp_tool:get_worker_logs,19,51,5,tests/test_mcp_stdio.py,1,0,271
mcp_tool:kill_worker,6,65,5,tests/test_mcp_stdio.py;tests/test_reducer_role.py,2,0,357
mcp_tool:list_agents,70,78,6,tests/test_antigravity_runtime.py;tests/test_backend_grok.py;tests/test_manager.py;tests/test_mcp_stdio.py;tests/test_prompting.py;tests/test_reducer_role.py,6,0,178
mcp_tool:list_orchestrators,21,40,6,tests/test_manager.py,1,0,231
mcp_tool:merge_worker,104,98,5,tests/test_mcp_stdio.py;tests/test_merge_branch_drift.py;tests/test_reducer_role.py,3,0,1340
mcp_tool:notify_user,20,26,1,tests/test_frontend.py;tests/test_tg_bridge.py,2,0,1428
mcp_tool:open_fan,33,20,0,tests/test_backend_codex.py;tests/test_default_pipeline.py;tests/test_fan_barrier.py;tests/test_fan_barrier_gates.py;tests/test_fan_enable.py;tests/test_fan_report_delivery.py;tests/test_fan_terminal_kind.py,7,0,1799
mcp_tool:payment_receive,11,34,5,tests/test_reducer_role.py,1,0,492
mcp_tool:payment_status,7,32,4,tests/test_reducer_role.py,1,0,239
mcp_tool:publish_artifact,18,0,0,tests/test_mcp_stdio.py,1,0,420
mcp_tool:release_test_lock,10,0,0,tests/test_db.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,3,0,294
mcp_tool:rename_worker,6,0,5,,0,0,274
mcp_tool:report_bug,18,48,4,tests/route_surface_snapshot.json;tests/test_api.py;tests/test_bug_report_notify.py;tests/test_static_compression.py,4,0,1084
mcp_tool:resolve_merge_operation,58,0,0,tests/test_mcp_stdio.py;tests/test_merge_operations.py;tests/test_merge_stuck.py;tests/test_reducer_role.py,4,0,703
mcp_tool:retry_initial_delivery,10,0,0,tests/test_mcp_stdio.py,1,0,396
mcp_tool:search_memory,51,60,0,tests/test_default_pipeline.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py;tests/test_search_deadline.py,4,0,971
mcp_tool:send_chart,48,0,0,tests/test_charts.py,1,0,2134
mcp_tool:send_file,29,22,4,tests/route_surface_snapshot.json;tests/test_artifacts.py;tests/test_charts.py;tests/test_mcp_stdio.py;tests/test_tg_bridge.py,5,0,455
mcp_tool:send_message,11,322,4,tests/test_api.py;tests/test_backend_codex.py;tests/test_default_pipeline.py;tests/test_fan_barrier_gates.py;tests/test_fan_enable.py;tests/test_fan_report_delivery.py;tests/test_fan_terminal_kind.py;tests/test_mailbox.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py;tests/test_session.py;tests/test_tg_bridge.py,12,0,286
mcp_tool:spawn_worker,124,210,3,tests/test_backend_codex.py;tests/test_backend_opencode.py;tests/test_mcp_quota_gate.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,5,0,2349
mcp_tool:stop_worker,6,39,5,tests/test_reducer_role.py,1,0,294
mcp_tool:switch_worker_branch,36,22,0,tests/test_adhoc_switch.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,3,0,830
mcp_tool:task_create,26,78,7,tests/test_acceptance.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,3,0,904
mcp_tool:task_get,7,20,6,tests/test_mcp_stdio.py,1,0,307
mcp_tool:task_list,16,22,6,,0,0,349
mcp_tool:task_update,33,52,6,tests/test_api.py;tests/test_mcp_stdio.py;tests/test_reducer_role.py,3,0,1184
mcp_tool:test_lock_status,9,0,0,tests/test_mcp_stdio.py,1,0,239
mcp_tool:update_progress,8,17,5,tests/test_reducer_role.py,1,0,328
mcp_tool:update_worker_description,6,27,5,,0,0,364
mcp_tool:update_worker_prompt,6,0,0,tests/test_hot_apply.py;tests/test_reducer_role.py,2,0,308
mcp_tool:worker_wip,46,24,0,tests/test_mcp_stdio.py;tests/test_merge_branch_drift.py,2,0,396
