feature,exact_surface,owner,description_bytes,schema_bytes,last_use_90d,observation_gap,30d_calls,30d_unique_sessions,30d_unique_agents,30d_unique_projects_scopes,30d_orchestrator_calls,30d_worker_calls,30d_runtimes,60d_calls,60d_unique_sessions,60d_unique_agents,60d_unique_projects_scopes,60d_orchestrator_calls,60d_worker_calls,60d_runtimes,90d_calls,90d_unique_sessions,90d_unique_agents,90d_unique_projects_scopes,90d_orchestrator_calls,90d_worker_calls,90d_runtimes,90d_successful,90d_errors,90d_unknown
mcp_tool:acquire_test_lock,acquire_test_lock,app/mcp_stdio.py:acquire_test_lock,610,799,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:bg_cancel,bg_cancel,app/mcp_stdio.py:bg_cancel,32,211,2026-08-24T04:33:16.213794+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,7,3,3,3,5,2,claude;codex,7,3,3,3,5,2,claude;codex,7,3,3,3,5,2,claude;codex,7,0,0
mcp_tool:bg_create,bg_create,app/mcp_stdio.py:bg_create,970,1786,2026-08-24T06:07:35.172146+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,117,13,13,5,31,86,claude;codex,117,13,13,5,31,86,claude;codex,117,13,13,5,31,86,claude;codex,117,0,0
mcp_tool:bg_list,bg_list,app/mcp_stdio.py:bg_list,44,154,2026-08-24T04:33:11.740634+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,19,8,8,5,14,5,claude;codex,19,8,8,5,14,5,claude;codex,19,8,8,5,14,5,claude;codex,19,0,0
mcp_tool:change_worker_model,change_worker_model,app/mcp_stdio.py:change_worker_model,77,320,2026-08-24T04:36:28.440235+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,5,3,3,3,5,0,claude;codex,5,3,3,3,5,0,claude;codex,5,3,3,3,5,0,claude;codex,5,0,0
mcp_tool:check_conflict,check_conflict,app/mcp_stdio.py:check_conflict,180,435,2026-08-23T14:42:35.901038+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,2,2,2,1,1,1,codex,2,2,2,1,1,1,codex,2,2,2,1,1,1,codex,2,0,0
mcp_tool:codex_review,codex_review,app/mcp_stdio.py:codex_review,1071,1587,2026-08-24T05:47:12.932524+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,78,28,28,4,1,77,claude;codex,78,28,28,4,1,77,claude;codex,78,28,28,4,1,77,claude;codex,74,4,0
mcp_tool:compact_worker,compact_worker,app/mcp_stdio.py:compact_worker,269,454,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:delivery_status,delivery_status,app/mcp_stdio.py:delivery_status,62,268,2026-08-24T05:24:36.028937+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,1,1,1,1,1,0,codex,1,1,1,1,1,0,codex,1,1,1,1,1,0,codex,1,0,0
mcp_tool:get_worker_info,get_worker_info,app/mcp_stdio.py:get_worker_info,91,276,2026-08-23T15:25:20.184837+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,4,2,2,2,3,1,claude;codex,4,2,2,2,3,1,claude;codex,4,2,2,2,3,1,claude;codex,4,0,0
mcp_tool:get_worker_logs,get_worker_logs,app/mcp_stdio.py:get_worker_logs,30,271,2026-08-23T17:14:45.022963+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,16,3,3,2,5,11,claude;codex,16,3,3,2,5,11,claude;codex,16,3,3,2,5,11,claude;codex,16,0,0
mcp_tool:kill_worker,kill_worker,app/mcp_stdio.py:kill_worker,121,357,2026-08-24T05:51:32.059390+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,44,9,9,4,28,16,claude;codex,44,9,9,4,28,16,claude;codex,44,9,9,4,28,16,claude;codex,42,2,0
mcp_tool:list_agents,list_agents,app/mcp_stdio.py:list_agents,60,178,2026-08-24T06:06:06.046567+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,131,13,13,6,123,8,claude;codex,131,13,13,6,123,8,claude;codex,131,13,13,6,123,8,claude;codex,131,0,0
mcp_tool:list_orchestrators,list_orchestrators,app/mcp_stdio.py:list_orchestrators,99,231,2026-08-24T05:12:33.596832+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,7,2,2,2,7,0,codex,7,2,2,2,7,0,codex,7,2,2,2,7,0,codex,7,0,0
