path	line	kind	occurrences	literal	referrer_class	owner_status
.gitignore	10	exact	1	docs/workers	root_contract	in_scope
CHANGELOG.md	9	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	44	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	55	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	115	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	154	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	160	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	162	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	262	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	269	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	273	exact	2	pipelines/	historical_changelog	historical
CHANGELOG.md	276	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	293	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	302	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	331	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	340	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	352	exact	2	docs/tasks	historical_changelog	historical
CHANGELOG.md	353	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	372	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	385	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	426	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	452	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	568	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	577	exact	1	docs/archive	historical_changelog	historical
CHANGELOG.md	578	exact	1	docs/workers	historical_changelog	historical
CHANGELOG.md	581	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	587	exact	1	docs/archive	historical_changelog	historical
CHANGELOG.md	593	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	612	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	626	exact	2	docs/tasks	historical_changelog	historical
CHANGELOG.md	639	exact	2	docs/tasks	historical_changelog	historical
CHANGELOG.md	645	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	646	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	693	exact	2	pipelines/	historical_changelog	historical
CHANGELOG.md	696	exact	2	pipelines/	historical_changelog	historical
CHANGELOG.md	697	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	698	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	699	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	705	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	714	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	729	exact	1	pipelines/	historical_changelog	historical
CHANGELOG.md	750	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	753	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	754	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	756	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	773	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	868	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	883	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	912	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	980	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	995	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1009	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1063	exact	2	pipelines/	historical_changelog	historical
CHANGELOG.md	1167	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1256	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1262	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1269	exact	1	docs/tasks	historical_changelog	historical
CHANGELOG.md	1298	exact	1	docs/tasks	historical_changelog	historical
CLAUDE.md	11	exact	1	docs/kb	root_contract	in_scope
CLAUDE.md	12	exact	1	docs/tasks	root_contract	in_scope
CLAUDE.md	20	exact	1	docs/kb	root_contract	in_scope
CLAUDE.md	21	exact	1	docs/kb	root_contract	in_scope
CLAUDE.md	21	exact	1	docs/tasks	root_contract	in_scope
CLAUDE.md	22	exact	1	docs/kb	root_contract	in_scope
CLAUDE.md	35	exact	1	docs/archive	root_contract	in_scope
