task	created_at	episode_ts	session	repo_calls	total_tools	historical_cost_usd	historical_cache_read	trigger_prompt_sha	snapshot	result_commits	description_sha256	status	title
364	2026-08-21T11:11:53.694437+00:00	2026-08-25T18:30:38.867604+00:00	fix-idb-selfheal	31	68	6.533645600000001	12420864	32d742b5560d	aa9bfb524bfa02f452476d55e6a6ccba25dc2a54	382bd22	89a4ff4a19792e790b6937e8121f27f74d3e76db54fa7d4a2fc138807746c812	done	Зеркало журнала в IndexedDB не самолечится: испорченное состояние снимается только руками из консоли
396	2026-08-25T13:11:40.117259+00:00	2026-08-25T13:27:48.130471+00:00	fix-limits-card	9	31	0.16308651999999998	5412096	d8b46d33f24b	10ea6f0a2994c05c57190dbe8598f9a3ba4f6e10	a2c45a4,4c1dfe9	76d32e50f44a87e8dde9660297621ae6e8d68e5872d3b98cb7a0cf8ddbebc9b8	done	/limits: вернуть «сколько пятичасовых окон осталось из недели» и ускорить генерацию картинки
397	2026-08-25T14:45:17.713222+00:00	2026-08-25T15:19:58.902884+00:00	feat-answer-nav	18	60	0.59711996	24552448	913acfb440d3	ea27d1adeef82da9c4f71716787a65fac8a3ca7a	33660cf	853ef7261fbd93165cbe823970c2fcbe29b610245f8c16a8fd95663337e810fc	done	Дашборд: стрелки навигации по моим итоговым ответам, а не только по сообщениям юзера
398	2026-08-25T16:57:39.823925+00:00	2026-08-25T17:11:02.502820+00:00	fix-merge-report	6	25	0.14379060000000002	4853760	56ee7b1c93a4	da35ecb1d96b6155ac5124bb34b1dd83c1671c19	41d7182	3e4ab640f345825d8bae6b5519fe9e04f4ba0958be9433aa55a8bcc1797d09cc	done	merge_worker врёт двумя полями при упавшей пост-коммитной финализации
401	2026-08-26T06:55:16.387897+00:00	2026-08-26T07:28:39.302844+00:00	fix-delivery-visibility	16	65	0.66448068	28140544	bd1bc4a59b31	7800ef33ee202cdf672fd7451c35393f30194aa4	507b63d	eabeb2a78035a8b490724cab425d1130917024cddbe4fb85819ff0428960cb1d	done	Отказ квотного гейта невидим вызывающему и вешает очередь доставок
412	2026-08-28T06:20:25.898679+00:00	2026-08-28T07:05:51.855208+00:00	fix-idb-selfheal	9	29	0.08780128000000001	2760704	1950e55576c8	9664a9b009df5eb8a68d40c37d1810db7ac15bb1	9d55266	dbeeb204b37dfcda758223e30a3751b56adb14eed87bb57d5f98ba1bd3602320	done	Тихий ход шлёт юзеру пустой якорь «ход окончен · 0 действий · $0.00»
413	2026-08-28T06:22:13.910855+00:00	2026-08-28T07:10:46.573955+00:00	fix-delivery-visibility	14	42	0.19587480000000002	6548480	341a46640127	9664a9b009df5eb8a68d40c37d1810db7ac15bb1	43a96ed	6cf6f319c5346fab95276fd67a417b52c518187020b4ea361facd1484bb31e0e	done	merge_worker рапортует SUCCEEDED при мерже ветки в саму себя и нулевом переносе коммитов
415	2026-08-28T08:58:41.075097+00:00	2026-08-28T09:13:14.891498+00:00	fix-idb-selfheal	7	27	0.23912864	10161152	b3fa64fa9b77	a10f145178d278e3a6282e760bdb9b6ea41397ef	e896a4b	66a583171e766b9db86bdde0fb7e1664dbc57ed9988544c9c320ce7230ed1ec4	done	Тест-гейт мержа красный на самом main: три теста test_api падают с «no such table: sessions»
416	2026-08-28T11:14:28.074413+00:00	2026-08-28T11:27:32.771069+00:00	fix-delivery-visibility	5	22	0.21587308000000002	8958464	b8b036eb37a6	7b88364629283fdf322444102874503146541a80	68a6c12	e77ed0eb005967d574ce2c690123f19c404ab3ce8ea7e269c29e663567827c8e	done	Ноутбучные коммиты сломали TestTaskProjectIdentity: создание задачи отвечает 400 вместо 200
417	2026-08-28T11:34:53.486853+00:00	2026-08-28T11:52:54.127858+00:00	fix-task-binding	12	39	0.1437208	5178880	22f266c30279	697e24c21f93ff7b26c325195e17ef9be38ab041	96522c9	1b43e601193d06bd5037753c19ca63a9fc1820295ea24cc2c5d58ba226f6b803	done	switch_worker_branch привязывает задачу только на стороне сессии, а bind_task_to_session молча ничего не делает — каждый мерж после переключения падает «task is not bound»
418	2026-08-30T08:38:48.046848+00:00	2026-08-30T09:21:28.996337+00:00	fix-task-binding	12	43	0.31725108	13231104	1d98bb4bb9bd	30a36cc3773f886b8c0134f404cb9d9adcff730a	16e6b90	65c49dfbc90e69a80c790ac95d8380c10c670ca18a684837ae71b2ba167fb2c8	done	switch_worker_branch падает KeyError: 'stable_id' — канонический task_get отдаёт запись без этого ключа
424	2026-08-31T05:40:39.550916+00:00	2026-08-31T05:54:20.177241+00:00	fix-task-binding	5	27	0.37079480000000004	16922880	1bfecbf5af18	3b6deb556b4692f3f2282337a13f1da0c8a7332a	caf2e7d	a44533e10eafb94009fa7aeb75c904c8fc3aba99f92cc7adceb503e96db8c345	done	Промежуточный ответ merge_worker отдаёт НАЧАЛЬНЫЙ снимок вместо живого прогресса: git уже применён, а в ответе NOT_STARTED
# freeze command: python3 scripts/recon429/freeze_corpus_432.py
# isolation proof at freeze: sessions_before=467 sessions_after=467 selected=12
