repo	file	line	old_path	old_exists	orchestra_analog_exists
orchestra	scripts/wf_pilot.py	23	docs/tasks/	False	True
orchestra	scripts/verify_orchestra_move.py	15	docs/kb/	False	True
orchestra	scripts/verify_orchestra_move.py	16	docs/tasks/	False	True
orchestra	scripts/verify_orchestra_move.py	17	docs/workers/	False	True
orchestra	scripts/check_orchestra_paths.py	19	docs/kb	False	True
orchestra	scripts/check_orchestra_paths.py	19	docs/tasks	False	True
orchestra	scripts/check_orchestra_paths.py	19	docs/workers	False	True
orchestra	app/orchestra_layout.py	25	docs/kb	False	True
orchestra	app/orchestra_layout.py	26	docs/tasks	False	True
orchestra	app/orchestra_layout.py	27	docs/workers	False	True
orchestra	app/orchestra_layout.py	340	docs/tasks/1	False	True
orchestra	app/orchestra_layout.py	769	docs/kb	False	True
orchestra	app/orchestra_layout.py	769	docs/tasks	False	True
orchestra	app/orchestra_layout.py	769	docs/workers	False	True
orchestra	scripts/secret_scan.py	18	docs/tasks/sol-efficiency/calls_strict.tsv	False	False
orchestra	app/ia/cutover.py	33	docs/kb/README.md	False	True
orchestra	app/ia/cutover.py	34	docs/tasks/<task-id>/research.md	False	False
orchestra	app/ia/cutover.py	35	docs/kb/	False	True
orchestra	app/ia/cutover.py	38	docs/tasks/<id>/report.md	False	False
orchestra	tests/test_orchestra_layout_recovery_430.py	26	docs/kb	False	True
orchestra	tests/test_orchestra_layout_recovery_430.py	27	docs/kb/fact.md	False	False
orchestra	tests/test_orchestra_layout_recovery_430.py	83	docs/kb	False	True
orchestra	tests/test_orchestra_layout_recovery_430.py	107	docs/kb	False	True
orchestra	.orchestra/tasks/289/analyze_review_roi.py	29	docs/tasks/([^/	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	87	docs/tasks/238/report.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	88	docs/tasks/999/report.md	False	False
