repo	file	line	position
kesha-tg-bot	runtime_protocol.py	3	docstring
kesha-tg-bot	codex_session.py	11	docstring
kesha-tg-bot	codex_session.py	370	docstring
kesha-tg-bot	codex_session.py	1095	comment
kesha-tg-bot	compact.py	159	comment
kesha-tg-bot	claude_session.py	88	comment
kesha-tg-bot	claude_session.py	700	docstring
kesha-tg-bot	rag.py	5	docstring
kesha-tg-bot	tests/test_runtime_limits.py	495	docstring
kesha-tg-bot	tests/test_compact_prompt.py	288	docstring
kesha-tg-bot	tests/test_compact_prompt.py	331	docstring
kesha-tg-bot	tests/test_codex_session.py	4	docstring
kesha-tg-bot	tests/test_codex_session.py	180	docstring
kesha-tg-bot	tests/test_codex_session.py	1029	docstring
katya-work	artifacts/task-6/lesson-01/validate.py	6	docstring
katya-work	artifacts/task-6/lesson-01/validate.py	64	comment
katya-work	artifacts/task-6/lesson-01/validate.py	92	comment
katya-work	artifacts/task-9-avito/avito_ads.py	176	docstring
katya-work	artifacts/task-4/tests/validate_t1_contract.py	23	string
katya-work	artifacts/task-4/tests/validate_t3_catalog.py	21	string
katya-work	artifacts/task-4/tests/validate_t4_lesson9.py	38	string
katya-work	pipeline/scripts/generate-master-registry.py	18	string
katya-work	pipeline/scripts/generate-master-registry.py	19	string
katya-work	pipeline/scripts/generate-master-registry.py	20	string
orchestra	app/orchestra_layout.py	25	string
orchestra	app/orchestra_layout.py	26	string
orchestra	app/orchestra_layout.py	27	string
orchestra	app/orchestra_layout.py	340	comment
orchestra	app/orchestra_layout.py	769	string
orchestra	app/ia/cutover.py	33	string
orchestra	app/ia/cutover.py	34	string
orchestra	app/ia/cutover.py	35	string
orchestra	app/ia/cutover.py	38	string
orchestra	scripts/secret_scan.py	18	docstring
orchestra	scripts/wf_pilot.py	23	string
orchestra	scripts/verify_orchestra_move.py	15	string
orchestra	scripts/verify_orchestra_move.py	16	string
orchestra	scripts/verify_orchestra_move.py	17	string
orchestra	scripts/check_orchestra_paths.py	19	string
