Traceback (most recent call last):
  File "<string>", line 18, in <module>
  File "<string>", line 4, in <lambda>
sqlite3.OperationalError: no such column: dur
ВСЕГО пар 100204  часов 120.46

=== по инструменту (>=100 вызовов) ===
tool                                    n    часы    мед     p95     p99    макс  доля%
Bash                                61588   95.24   0.18    26.1   109.8   590.3  79.07
mcp__orchestra__merge_worker         1405    7.66   2.51    90.6    93.1   150.3   6.36
WebSearch                            1764    3.39   1.76    32.4    47.1    96.0   2.82
mcp__orchestra__spawn_worker          625    2.15   5.19    35.8    55.0   131.7   1.79
mcp__orchestra__send_message         5198    2.04   0.28     5.8    30.2    78.3   1.69
bash                                  463    2.03   0.69    40.7   402.0   500.6   1.68
WebFetch                              231    1.09   5.40    73.1   136.4   137.8   0.90
mcp__orchestra__search_memory        1125    0.84   1.37     6.5    18.8    80.4   0.69
mcp__orchestra__task_create           698    0.72   0.16    30.2    35.6    87.0   0.60
mcp__orchestra__list_agents          1152    0.70   0.23    10.9    31.8   394.9   0.58
Read                                 2863    0.44   0.04     1.1     2.8   379.7   0.36
run_terminal_command                  299    0.37   0.27    15.1    15.2    15.7   0.31
mcp__orchestra__kill_worker           481    0.27   1.10     6.2    19.5    30.2   0.22
mcp__orchestra__worker_wip           1063    0.22   0.33     2.2     7.2    60.0   0.19
Edit                                 4518    0.21   0.07     0.4     2.1    17.1   0.18
mcp__orchestra__switch_worker_branch    123    0.20   1.09    30.2    31.0    46.2   0.17
mcp__orchestra__codex_review          867    0.20   0.43     3.4     7.9    36.8   0.16
mcp__orchestra__task_get              279    0.18   0.12    30.1    30.2    30.5   0.15
mcp__orchestra__task_update           708    0.17   0.13     3.2    18.0    89.9   0.14
mcp__orchestra__change_worker_model    115    0.17   0.24    30.2    40.8    70.7   0.14
mcp__orchestra__send_file             508    0.15   0.49     2.8    15.3    29.0   0.12
mcp__orchestra__bg_create             525    0.09   0.33     2.4     7.7    11.1   0.08
Write                                1267    0.07   0.08     0.5     2.4    18.3   0.06
mcp__orchestra__stop_worker           109    0.04   0.10     0.7    30.2    30.6   0.03
mcp__orchestra__report_bug            136    0.03   0.17     4.6    10.8    14.0   0.02
FileChange                           8081    0.02   0.01     0.0     0.1     1.1   0.02
mcp__orchestra__message_delivery_status    232    0.02   0.11     0.4     2.3    39.3   0.02
use_tool                              145    0.01   0.14     1.0     3.1     7.8   0.01
ToolSearch                            216    0.01   0.02     0.6     2.9     3.3   0.01
grep                                  291    0.01   0.05     0.2     0.4     6.4   0.01
read_file                             401    0.01   0.02     0.1     0.2    10.2   0.01
ViewImage                             944    0.00   0.00     0.0     0.1     0.3   0.00
search_replace                        183    0.00   0.01     0.1     0.1     0.1   0.00
search_tool                           103    0.00   0.02     0.1     0.1     0.2   0.00

=== хвост: инструменты <100 вызовов, суммарно ===
