ВСЕГО времени инструментов, ч: 120.46

класс               n    часы    мед     p95     p99  доля%     ср
tests            7718   51.61  11.61    90.2   216.9  42.85  24.08
net              5974   10.35   1.36    27.8   114.0   8.59   6.24
search-read     24402    9.32   0.01     1.9    30.0   7.74   1.37
inline-code      6865    8.37   0.32    21.3    87.4   6.95   4.39
wait-loop         650    5.84  13.21   120.1   180.4   4.85  32.33
other            2705    3.57   0.01    23.6   103.1   2.96   4.75
git             12561    2.81   0.14     1.8     9.9   2.33   0.81
llm-cli           752    2.52   0.27    44.9   210.3   2.09  12.07
media             500    2.08   1.13    58.2   300.1   1.72  14.95
deps              223    1.17   4.45    78.0   235.4   0.97  18.85

НЕ-bash всего   37854   22.82   0.11     7.2    44.1  18.94
