ВСЕГО времени инструментов, ч: 120.46

класс v3            n    часы    мед     p95     p99     ср  доля%
tests            6368   48.66  13.41    99.7   240.2  27.51  40.40
inline-code     11723   20.73   0.40    30.9   120.1   6.37  17.21
wait-loop         544    6.63  20.94   121.3   220.3  43.89   5.51
net              4284    6.30   1.41    17.6    93.1   5.30   5.23
other            4024    5.35   0.11    22.2    72.9   4.79   4.44
search-read     22773    4.13   0.01     0.8     8.2   0.65   3.43
media             462    1.86   1.27    58.2   300.1  14.51   1.55
llm-cli           378    1.54   0.41    71.4   399.6  14.67   1.28
git             10752    1.49   0.12     1.4     5.8   0.50   1.23
proc-inspect      953    0.53   0.18     5.6    34.5   1.99   0.44
deps               89    0.41   6.87    63.3   235.4  16.71   0.34

=== v2 -> v3 переходы (топ-12) ===
  tests        -> other        n=   315 часы=  1.57
  search-read  -> tests        n=    76 часы=  0.96
  inline-code  -> tests        n=    94 часы=  0.80
  inline-code  -> other        n=   606 часы=  0.61
  search-read  -> other        n=   637 часы=  0.51
  wait-loop    -> net          n=    86 часы=  0.34
  net          -> other        n=   241 часы=  0.30
  other        -> tests        n=    74 часы=  0.27
  wait-loop    -> other        n=    52 часы=  0.19
  git          -> other        n=   413 часы=  0.18
  tests        -> inline-code  n=    36 часы=  0.17
  other        -> deps         n=     9 часы=  0.16
