tool_name                                  calls  paired  no_response  min(p.delay)        max(p.delay)      
-----------------------------------------  -----  ------  -----------  ------------------  ------------------
mcp__orchestra__acquire_test_lock          1      1       0            0.0800237059593201  0.0800237059593201
mcp__orchestra__bg_cancel                  49     49      0            0.0329911708831787  5.63798993825912  
mcp__orchestra__bg_create                  411    411     0            0.0379800796508789  2.10302621126175  
mcp__orchestra__bg_list                    31     31      0            0.0539928674697876  3.39402705430984  
mcp__orchestra__change_worker_model        17     17      0            0.0539928674697876  0.532002747058868 
mcp__orchestra__check_conflict             1      1       0            0.11599212884903    0.11599212884903  
mcp__orchestra__codex_review               23     23      0            0.137999653816223   2.86298990249634  
mcp__orchestra__compact_worker             2      2       0            0.0549986958503723  90.2890294790268  
mcp__orchestra__file_delivery_status       13     13      0            0.0280022621154785  0.11599212884903  
mcp__orchestra__get_worker_info            6      6       0            0.0669881701469421  0.433994829654694 
mcp__orchestra__get_worker_logs            5      5       0            0.0809893012046814  0.798989832401276 
mcp__orchestra__kill_worker                27     27      0            0.382013618946075   3.23498547077179  
mcp__orchestra__list_agents                98     97      1            0.226029753684998   25.8119702339172  
mcp__orchestra__list_orchestrators         4      4       0            0.174008309841156   0.322026014328003 
mcp__orchestra__merge_worker               190    190     0            0.133976340293884   2.61398702859879  
mcp__orchestra__message_delivery_status    9      9       0            0.063970685005188   0.590984523296356 
mcp__orchestra__notify_user                1      1       0            0.0749945640563965  0.0749945640563965
mcp__orchestra__project_goal               1      1       0            0.325968861579895   0.325968861579895 
mcp__orchestra__release_test_lock          1      1       0            0.0479981303215027  0.0479981303215027
mcp__orchestra__report_bug                 4      4       0            0.211988389492035   5.88099807500839  
mcp__orchestra__search_memory              13     13      0            1.98401659727097    5.54903447628021  
mcp__orchestra__send_chart                 7      7       0            0.233995914459229   1.40699297189713  
mcp__orchestra__send_file                  54     54      0            0.0619992613792419  2.96099781990051  
mcp__orchestra__send_files                 37     37      0            0.0679939985275269  3.180992603302    
mcp__orchestra__send_message               1072   1072    0            0.015006959438324   30.681024491787   
mcp__orchestra__spawn_worker               78     78      0            0.0510156154632568  30.1940023899078  
mcp__orchestra__stop_worker                16     16      0            0.056004524230957   0.619992613792419 
mcp__orchestra__switch_worker_branch       47     47      0            0.308990478515625   30.1180019974709  
mcp__orchestra__task_create                129    129     0            0.136028230190277   7.28497356176376  
mcp__orchestra__task_get                   15     15      0            0.11398047208786    2.18502134084702  
mcp__orchestra__task_list                  2      2       0            0.0399917364120483  0.518001616001129 
mcp__orchestra__task_update                19     19      0            0.264975428581238   1.69900506734848  
mcp__orchestra__update_progress            1      1       0            0.105974078178406   0.105974078178406 
mcp__orchestra__update_worker_description  2      2       0            0.0559642910957336  0.0870242714881897
mcp__orchestra__worker_wip                 107    107     0            0.0850126147270203  11.0290288925171  
