name	calls	median_s	p95_s	no_response	within_10s	failures
acquire_test_lock	1	0.0800237059593201	0.0800237059593201	0	1	0
bg_cancel	49	0.107020139694214	1.24099105596542	0	49	8
bg_create	411	0.206999480724335	0.765033066272736	0	411	0
bg_list	31	0.107020139694214	1.53199732303619	0	31	0
change_worker_model	17	0.142022967338562	0.532002747058868	0	17	0
check_conflict	1	0.11599212884903	0.11599212884903	0	1	0
compact_worker	2	45.1720140874386	90.2890294790268	0	1	1
delivery_status	0			0		0
file_delivery_status	13	0.0659823417663574	0.11599212884903	0	13	0
get_worker_info	6	0.177005678415298	0.433994829654694	0	6	0
get_worker_logs	5	0.306978821754456	0.798989832401276	0	5	0
kill_worker	27	1.13099366426468	3.04701626300812	0	27	0
list_agents	98	0.538963079452515	18.6200156807899	1	91	0
list_orchestrators	4	0.207985192537308	0.322026014328003	0	4	0
merge_worker	191	0.41898787021637	1.33799314498901	0	191	19
message_delivery_status	9	0.0949904322624207	0.590984523296356	0	9	0
notify_user	1	0.0749945640563965	0.0749945640563965	0	1	0
open_fan	0			0		0
project_goal	1	0.325968861579895	0.325968861579895	0	1	1
project_wait	0			0		0
publish_artifact	0			0		0
release_test_lock	1	0.0479981303215027	0.0479981303215027	0	1	0
rename_worker	0			0		0
report_bug	4	0.309513509273529	5.88099807500839	0	4	0
resolve_merge_operation	0			0		0
retry_initial_delivery	0			0		0
search_memory	13	5.06398379802704	5.54903447628021	0	13	0
send_chart	7	0.453990697860718	1.40699297189713	0	7	0
send_file	54	0.149506330490112	0.451979041099548	0	54	1
send_files	38	0.161013007164001	0.923994183540344	0	38	0
send_message	1075	0.450007617473602	1.2910008430481	0	1072	21
set_worker_owned_dirs	0			0		0
spawn_worker	78	3.4544974565506	30.1069781184196	0	66	41
stop_worker	16	0.106014311313629	0.619992613792419	0	16	0
switch_worker_branch	48	0.929506123065948	16.0629987716675	0	45	5
task_create	130	0.542986392974854	3.00702452659607	0	130	0
task_create_status	0			0		0
task_get	15	0.160007178783417	2.18502134084702	0	15	0
task_list	2	0.278996676206589	0.518001616001129	0	2	0
task_update	19	0.680020451545715	1.69900506734848	0	19	0
test_lock_status	0			0		0
update_progress	1	0.105974078178406	0.105974078178406	0	1	0
update_worker_description	2	0.0714942812919617	0.0870242714881897	0	2	0
update_worker_prompt	0			0		0
worker_wip	107	0.375978648662567	1.4900341629982	0	106	0
