tool_name                                  n   
-----------------------------------------  ----
mcp__orchestra__acquire_test_lock          1   
mcp__orchestra__bg_cancel                  49  
mcp__orchestra__bg_create                  411 
mcp__orchestra__bg_list                    31  
mcp__orchestra__change_worker_model        17  
mcp__orchestra__check_conflict             1   
mcp__orchestra__codex_review               23  
mcp__orchestra__compact_worker             2   
mcp__orchestra__file_delivery_status       13  
mcp__orchestra__get_worker_info            6   
mcp__orchestra__get_worker_logs            5   
mcp__orchestra__kill_worker                27  
mcp__orchestra__list_agents                98  
mcp__orchestra__list_orchestrators         4   
mcp__orchestra__merge_worker               190 
mcp__orchestra__message_delivery_status    9   
mcp__orchestra__notify_user                1   
mcp__orchestra__project_goal               1   
mcp__orchestra__release_test_lock          1   
mcp__orchestra__report_bug                 4   
mcp__orchestra__search_memory              13  
mcp__orchestra__send_chart                 7   
mcp__orchestra__send_file                  54  
mcp__orchestra__send_files                 37  
mcp__orchestra__send_message               1072
mcp__orchestra__spawn_worker               78  
mcp__orchestra__stop_worker                16  
mcp__orchestra__switch_worker_branch       47  
mcp__orchestra__task_create                129 
mcp__orchestra__task_get                   15  
mcp__orchestra__task_list                  2   
mcp__orchestra__task_update                19  
mcp__orchestra__update_progress            1   
mcp__orchestra__update_worker_description  2   
mcp__orchestra__worker_wip                 107 
