name	calls	median_s	p95_s	no_response	within_10s	failures
compact_worker	2	45.1720140874386	90.2890294790268	0	1	1
spawn_worker	78	3.4544974565506	30.1069781184196	0	66	41
list_agents	98	0.538963079452515	18.6200156807899	1	91	0
switch_worker_branch	48	0.929506123065948	16.0629987716675	0	45	5
report_bug	4	0.309513509273529	5.88099807500839	0	4	0
search_memory	13	5.06398379802704	5.54903447628021	0	13	0
kill_worker	27	1.13099366426468	3.04701626300812	0	27	0
task_create	130	0.542986392974854	3.00702452659607	0	130	0
task_get	15	0.160007178783417	2.18502134084702	0	15	0
task_update	19	0.680020451545715	1.69900506734848	0	19	0
