log_id	worker	backend	role	scope	ts	output	mode	target	resume	worker_backend
263279	subscription-analyzer	claude	full-cycle	COG-second-brain	2026-07-18T03:34	docs/tasks/subscription-analyzer/codex-review-research.md	exec	docs/tasks/subscription-analyzer/researc	false	claude
266784	research-codex-cache	codex	full-cycle	orchestra	2026-07-18T09:15	docs/tasks/codex-cache-research/codex-review-plan.md	exec	docs/tasks/codex-cache-research/plan.md	false	sol
267022	research-codex-cache	codex	full-cycle	orchestra	2026-07-18T09:19	docs/tasks/codex-cache-research/codex-review-plan.md	review		true	sol
267127	research-codex-cache	codex	full-cycle	orchestra	2026-07-18T09:21	docs/tasks/codex-cache-research/codex-review-plan.md	review		true	sol
267390	research-self-improve	codex	full-cycle	orchestra	2026-07-18T09:37	docs/tasks/self-improve-survey/codex-review-research.md	exec	docs/tasks/self-improve-survey/research.	false	sol
267399	research-codex-cache	codex	full-cycle	orchestra	2026-07-18T09:38	docs/tasks/codex-cache-research/codex-review-impl.md	review		false	sol
267427	research-self-improve	codex	full-cycle	orchestra	2026-07-18T09:40	docs/tasks/self-improve-survey/codex-review-research.md	exec	docs/tasks/self-improve-survey/research.	false	sol
269269	codex-limits-official	codex	full-cycle	orchestra	2026-07-18T10:52		review		false	sol
269497	codex-limits-community	claude	full-cycle	orchestra	2026-07-18T10:54	docs/tasks/codex-limits-community/codex-review-research.md	exec	docs/tasks/codex-limits-community/resear	false	claude
269674	codex-limits-official	codex	full-cycle	orchestra	2026-07-18T10:56		review		false	sol
269806	research-spark	codex	full-cycle	orchestra	2026-07-18T10:57	docs/tasks/spark-comparison/codex-review-research.md	exec	docs/tasks/spark-comparison/research.md	false	sol
270065	codex-limits-source	codex	full-cycle	orchestra	2026-07-18T11:01	docs/tasks/codex-limits-source/codex-review-research.md	exec	docs/tasks/codex-limits-source/research.	false	sol
270103	research-spark	codex	full-cycle	orchestra	2026-07-18T11:02	docs/tasks/spark-comparison/codex-review-research.md	review		true	sol
270240	codex-limits-source	codex	full-cycle	orchestra	2026-07-18T11:04	docs/tasks/codex-limits-source/codex-review-research.md	exec	docs/tasks/codex-limits-source/research.	false	sol
270312	research-codex-abuse	codex	full-cycle	orchestra	2026-07-18T11:05	docs/tasks/codex-limits-abuse/codex-review-research.md	exec	docs/tasks/codex-limits-abuse/research.m	false	sol
270467	research-codex-abuse	codex	full-cycle	orchestra	2026-07-18T11:09	docs/tasks/codex-limits-abuse/codex-review-research.md	review		true	sol
270585	mobile-os-strategy	codex	full-cycle	Sensar	2026-07-18T11:16	docs/tasks/2/codex-review-research.md	exec	docs/tasks/2/research.md	false	sol
