rid	worker_backend	worker	scope	ts	output	is_review	n_calls	n_resume	verdict	n_findings	n_substantive	max_severity	specificity	rounds_in_file	path
R27	claude	subscription-analyzer	COG-second-brain	2026-07-18T03:34	docs/tasks/subscription-analyzer/codex-review-research.md	yes	1	0	CHANGES_REQUESTED	1	1	blocking	anchored	1	/mnt/data/Рабочий стол/Cursor/COG-second-brain/docs/tasks/subscription-analyzer/codex-review-research.md
R05	claude	audit-both-projects	Sensar	2026-07-19T07:10	docs/tasks/11/codex-review-audit.md	yes	1	0	CHANGES_REQUESTED	8	4	major	mixed	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/audit-both-projects/docs/tasks/11/codex-review-audit.md
R35	claude	sensar-client-offer	Sensar	2026-07-19T09:44	docs/tasks/15/codex-review-impl.md	yes	2	1	CHANGES_REQUESTED	9	7	major	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-client-offer/docs/tasks/15/codex-review-impl.md
R16	claude	sensar-client-offer	Sensar	2026-07-19T09:16	docs/tasks/15/codex-review-plan.md	yes	1	0	CHANGES_REQUESTED	11	10	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-client-offer/docs/tasks/15/codex-review-plan.md
R19	claude	sensar-client-offer	Sensar	2026-07-19T09:08	docs/tasks/15/codex-review-research.md	yes	2	0	APPROVE_NITS	4	1	minor	mixed	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-client-offer/docs/tasks/15/codex-review-research.md
R43	claude	sensar-concrete-roadmap	Sensar	2026-07-20T03:53	docs/tasks/16/codex-review-impl.md	yes	2	1	CHANGES_REQUESTED	5	4	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-concrete-roadmap/docs/tasks/16/codex-review-impl.md
R20	claude	sensar-concrete-roadmap	Sensar	2026-07-20T03:32	docs/tasks/16/codex-review-plan.md	yes	1	0	CHANGES_REQUESTED	5	5	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-concrete-roadmap/docs/tasks/16/codex-review-plan.md
R12	claude	sensar-concrete-roadmap	Sensar	2026-07-19T13:55	docs/tasks/16/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	4	3	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-concrete-roadmap/docs/tasks/16/codex-review-research.md
R41	claude	sensar-product-platform	Sensar	2026-07-20T06:13	docs/tasks/17/codex-review-impl.md	yes	2	0	CHANGES_REQUESTED	2	1	major	mixed	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-product-platform/docs/tasks/17/codex-review-impl.md
R18	claude	sensar-product-platform	Sensar	2026-07-20T05:49	docs/tasks/17/codex-review-plan.md	yes	1	0	CHANGES_REQUESTED	12	12	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-product-platform/docs/tasks/17/codex-review-plan.md
R31	claude	sensar-product-platform	Sensar	2026-07-20T04:53	docs/tasks/17/codex-review-research.md	yes	2	0	CHANGES_REQUESTED	10	10	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-product-platform/docs/tasks/17/codex-review-research.md
R42	claude	research-models	orchestra	2026-07-24T02:57	docs/tasks/non-tech-models/codex-review.md	yes	1	0	CHANGES_REQUESTED	7	5	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-models/docs/tasks/non-tech-models/codex-review.md
R11	claude	research-subscription	orchestra	2026-07-21T06:56	docs/tasks/subscription-strategy/codex-review-research.md	yes	1	0	CHANGES_REQUESTED	5	4	major	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-subscription/docs/tasks/subscription-strategy/codex-review-research.md
R13	claude	pricing-research	seedon	2026-07-23T10:25	docs/tasks/155/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	17	15	blocking	anchored	2	/mnt/data/Projects/Python/seedon/docs/tasks/155/codex-review-research.md
R15	sol	sensar-roadmap	Sensar	2026-07-19T08:03	docs/tasks/1/codex-review-audit-fix.md	yes	2	1	CHANGES_REQUESTED	1	1	major	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/codex-review-audit-fix.md
R25	sol	sensar-roadmap	Sensar	2026-07-18T13:23	docs/tasks/1/codex-review-document.md	yes	1	0	APPROVE_NITS	3	2	minor	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/codex-review-document.md
R28	sol	sensar-roadmap	Sensar	2026-07-18T13:33	docs/tasks/1/codex-review-impl.md	yes	2	1	CHANGES_REQUESTED	3	2	major	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/codex-review-impl.md
R32	sol	sensar-roadmap	Sensar	2026-07-18T11:42	docs/tasks/1/codex-review-plan.md	yes	3	2	APPROVE_NITS	9	7	major	anchored	3	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/codex-review-plan.md
R17	sol	sensar-roadmap	Sensar	2026-07-18T11:19	docs/tasks/1/codex-review-research.md	yes	2	1	APPROVE_NITS	8	7	major	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/codex-review-research.md
R29	sol	sensar-roadmap	Sensar	2026-07-19T07:54	docs/tasks/1/reader-test-audit-fix-main.md	no_reader_test	1	0	APPROVE_CLEAN	0	0	none	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/reader-test-audit-fix-main.md
R37	sol	sensar-roadmap	Sensar	2026-07-19T07:55	docs/tasks/1/reader-test-audit-fix-memo.md	no_reader_test	2	1	APPROVE_NITS	5	3	minor	mixed	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/reader-test-audit-fix-memo.md
R23	sol	sensar-roadmap	Sensar	2026-07-18T13:18	docs/tasks/1/reader-test-main.md	no_reader_test	1	0	APPROVE_NITS	1	0	minor	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/reader-test-main.md
R33	sol	sensar-roadmap	Sensar	2026-07-18T13:18	docs/tasks/1/reader-test-memo.md	no_reader_test	2	1	APPROVE_NITS	8	4	minor	mixed	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/sensar-roadmap/docs/tasks/1/reader-test-memo.md
R26	sol	mobile-os-strategy	Sensar	2026-07-19T08:01	docs/tasks/2/codex-review-impl-13.md	yes	3	2	CHANGES_REQUESTED	1	1	major	anchored	3	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/mobile-os-strategy/docs/tasks/2/codex-review-impl-13.md
R38	sol	mobile-os-strategy	Sensar	2026-07-18T12:18	docs/tasks/2/codex-review-impl.md	yes	4	2	CHANGES_REQUESTED	1	1	major	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/mobile-os-strategy/docs/tasks/2/codex-review-impl.md
R09	sol	mobile-os-strategy	Sensar	2026-07-18T11:33	docs/tasks/2/codex-review-plan.md	yes	2	1	CHANGES_REQUESTED	10	7	major	mixed	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/mobile-os-strategy/docs/tasks/2/codex-review-plan.md
R08	sol	mobile-os-strategy	Sensar	2026-07-18T11:16	docs/tasks/2/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	10	8	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/mobile-os-strategy/docs/tasks/2/codex-review-research.md
R40	sol	mobile-os-strategy	Sensar	2026-07-18T12:16	docs/tasks/2/reader-test.md	no_reader_test	3	1	APPROVE_NITS	3	0	minor	mixed	1	/mnt/data/Projects/Python/orchestra/worktrees/home-maxim-cursor-sensar/mobile-os-strategy/docs/tasks/2/reader-test.md
R30	sol	investigate-restart	kesha-tg-bot	2026-07-24T04:37	docs/tasks/11/codex-review-research.md	yes	2	1	APPROVE_NITS	4	4	minor	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-kesha-tg-bot/investigate-restart/docs/tasks/11/codex-review-research.md
R39	sol	research-codex-cache	orchestra	2026-07-18T09:38	docs/tasks/codex-cache-research/codex-review-impl.md	yes	1	0	APPROVE_CLEAN	0	0	none	vague	1	/mnt/data/Projects/Python/orchestra/docs/tasks/codex-cache-research/codex-review-impl.md
R10	sol	research-codex-cache	orchestra	2026-07-18T09:15	docs/tasks/codex-cache-research/codex-review-plan.md	yes	3	2	CHANGES_REQUESTED	11	7	blocking	anchored	3	/mnt/data/Projects/Python/orchestra/docs/tasks/codex-cache-research/codex-review-plan.md
R24	sol	research-codex-cost	orchestra	2026-07-24T13:53	docs/tasks/codex-cost/codex-review-research.md	yes	3	2	CHANGES_REQUESTED	3	3	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/docs/tasks/codex-cost/codex-review-research.md
R07	sol	research-codex-abuse	orchestra	2026-07-18T11:05	docs/tasks/codex-limits-abuse/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	11	8	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/docs/tasks/codex-limits-abuse/codex-review-research.md
R45	sol	research-codex-sleep	orchestra	2026-07-25T04:59	docs/tasks/codex-sleep/codex-review-impl.md	yes	3	2	APPROVE_CLEAN	0	0	none	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-codex-sleep/docs/tasks/codex-sleep/codex-review-impl.md
R22	sol	research-codex-sleep	orchestra	2026-07-25T04:42	docs/tasks/codex-sleep/codex-review-plan.md	yes	3	2	CHANGES_REQUESTED	4	2	blocking	anchored	3	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-codex-sleep/docs/tasks/codex-sleep/codex-review-plan.md
R03	sol	research-codex-sleep	orchestra	2026-07-25T04:19	docs/tasks/codex-sleep/codex-review-research.md	yes	2	1	APPROVE_NITS	3	2	minor	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-codex-sleep/docs/tasks/codex-sleep/codex-review-research.md
R34	sol	research-html-eff	orchestra	2026-07-24T13:14	docs/tasks/html-effectiveness/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	6	6	major	anchored	3	/mnt/data/Projects/Python/orchestra/docs/tasks/html-effectiveness/codex-review-research.md
R01	sol	research-opus5	orchestra	2026-07-24T17:23	docs/tasks/opus5-routing/codex-review-research.md	yes	4	3	CHANGES_REQUESTED	13	10	blocking	anchored	3	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/research-opus5/docs/tasks/opus5-routing/codex-review-research.md
R44	sol	research-self-improve	orchestra	2026-07-18T09:37	docs/tasks/self-improve-survey/codex-review-research.md	yes	2	0	CHANGES_REQUESTED	6	6	major	anchored	2	/mnt/data/Projects/Python/orchestra/docs/tasks/self-improve-survey/codex-review-research.md
R06	sol	research-spark	orchestra	2026-07-18T10:57	docs/tasks/spark-comparison/codex-review-research.md	yes	2	1	CHANGES_REQUESTED	8	7	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/docs/tasks/spark-comparison/codex-review-research.md
R21	sol	feat-usage-analytics	orchestra	2026-07-25T10:15	docs/tasks/usage-analytics/codex-review-impl.md	yes	2	1	CHANGES_REQUESTED	6	6	blocking	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/feat-usage-analytics/docs/tasks/usage-analytics/codex-review-impl.md
R04	sol	feat-usage-analytics	orchestra	2026-07-25T08:30	docs/tasks/usage-analytics/codex-review-plan.md	yes	3	2	CHANGES_REQUESTED	7	4	blocking	mixed	2	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/feat-usage-analytics/docs/tasks/usage-analytics/codex-review-plan.md
R14	sol	feat-usage-analytics	orchestra	2026-07-25T08:09	docs/tasks/usage-analytics/codex-review-research.md	yes	2	1	APPROVE_CLEAN	0	0	none	anchored	1	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-orchestra/feat-usage-analytics/docs/tasks/usage-analytics/codex-review-research.md
R02	sol	sales	seedon	2026-07-24T04:52	docs/tasks/148/codex-review-impl.md	yes	2	1	CHANGES_REQUESTED	3	3	major	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-seedon/sales/docs/tasks/148/codex-review-impl.md
R36	sol	sales	seedon	2026-07-24T04:34	docs/tasks/148/codex-review-plan.md	yes	2	1	CHANGES_REQUESTED	9	8	blocking	anchored	2	/mnt/data/Projects/Python/orchestra/worktrees/mnt-data-projects-python-seedon/sales/docs/tasks/148/codex-review-plan.md
