log_id	worker	requested_seconds	class
266812	research-codex-cache	20	review_pending
266831	research-codex-cache	20	review_pending
266851	research-codex-cache	30	review_pending
266881	research-codex-cache	30	review_pending
267048	research-codex-cache	30	review_pending
267146	research-codex-cache	30	review_pending
267403	research-codex-cache	30	review_pending
267410	research-codex-cache	30	review_pending
267415	research-codex-cache	30	review_pending
267421	research-codex-cache	30	review_pending
269351	codex-limits-official	30	review_pending
269427	codex-limits-official	30	review_pending
269525	codex-limits-official	30	post_review
269705	codex-limits-official	30	review_pending
270752	sensar-roadmap	5	post_review
271127	sensar-roadmap	5	review_pending
271145	sensar-roadmap	5	review_pending
274178	mobile-os-strategy	1	review_pending
286237	kesha-tg-bot	15	worker_readiness
286278	kesha-tg-bot	20	worker_readiness
286320	kesha-tg-bot	25	worker_readiness
286806	investigate-restart	15	review_pending
286831	investigate-restart	20	review_pending
286852	investigate-restart	20	review_pending
286879	investigate-restart	30	review_pending
286932	investigate-restart	30	review_pending
286973	investigate-restart	30	review_pending
287003	investigate-restart	30	review_pending
287035	sales	10	review_pending
287069	sales	10	worker_readiness
287098	sales	10	worker_readiness
287145	investigate-restart	30	review_pending
287164	investigate-restart	30	review_pending
287266	kesha-tg-bot	3	worker_readiness
287273	kesha-tg-bot	10	worker_readiness
287387	sales	20	review_pending
287393	sales	20	review_pending
287396	sales	20	review_pending
287399	sales	30	review_pending
287404	sales	30	review_pending
287411	sales	30	review_pending
287415	sales	30	review_pending
287420	sales	45	review_pending
287440	sales	30	review_pending
287443	sales	30	review_pending
287449	sales	30	review_pending
287454	sales	30	review_pending
288047	research-html-eff	20	review_pending
288050	research-html-eff	30	review_pending
288053	research-html-eff	30	review_pending
288060	research-html-eff	30	review_pending
288063	research-html-eff	30	review_pending
288070	research-html-eff	45	review_pending
288073	research-html-eff	45	review_pending
288080	research-html-eff	45	review_pending
288083	research-html-eff	45	review_pending
288099	research-html-eff	45	review_pending
288103	research-html-eff	45	review_pending
288118	research-html-eff	45	post_review
288936	research-opus5	20	review_pending
288940	research-opus5	30	review_pending
288943	research-opus5	45	review_pending
288956	research-opus5	50	review_pending
288978	research-opus5	30	review_pending
289021	research-opus5	30	review_pending
289030	research-opus5	30	review_pending
289471	upgrade-claude5	30	review_pending
289474	upgrade-claude5	30	review_pending
289478	upgrade-claude5	30	review_pending
289500	upgrade-claude5	20	review_pending
289524	upgrade-claude5	20	review_pending
289535	upgrade-claude5	20	review_pending
289697	kesha-tg-bot	4	worker_readiness
289707	kesha-tg-bot	10	worker_readiness
