config,split,rows,bytes,sha256,first_publish_date,last_publish_date
agent,full,329,43243,b65206b5738a372586124084920873848bf6bbb8a2d9a4851068bc01c2f57fa1,2026-06-04,2026-07-21
agent,latest,38,5296,1acd0edefab5cc44ed56258a49399932c1c46a8cc6ad7ada046a4269eeaae093,2026-07-21,2026-07-21
agent_bash_recovery_steps,full,329,40808,78fd36f9455b6aef666f779c62b9f245b318640a0c7aa18c0e0472597d3892a8,2026-06-04,2026-07-21
agent_bash_recovery_steps,latest,38,4926,9a6ef7c50034b19612d17f8d4ec785c85e76e751a79166474b5c2555f263bf25,2026-07-21,2026-07-21
agent_praise_complaint,full,329,40657,589bdedad3e6347184e95323ea21fa4d546f149008f0846c3b48b8137c1189c8,2026-06-04,2026-07-21
agent_praise_complaint,latest,38,4916,bbb95301c14930ff2c3d490e6c9f0ddbdc37ec9f001246ab7ed0a5a1f487d513,2026-07-21,2026-07-21
agent_steerability,full,329,40985,be2d1525b7e73735cf55449e1802360649c60a6d4d56c6db0cffb3c83dbff9d7,2026-06-04,2026-07-21
agent_steerability,latest,38,4952,d5a44b99a92d118ca0f9668b22b1150ad68032c862b6e50e039486e705ed3490,2026-07-21,2026-07-21
agent_task_outcome_explicit,full,329,40879,ae8f1090a55c894126a31db4cc818020be2930a1760c01e100b9f4f4f80d5a1d,2026-06-04,2026-07-21
agent_task_outcome_explicit,latest,38,4931,de24390fb39f0dd66313c6b2cce66817de2154f804818de8f12edcf5bec87716,2026-07-21,2026-07-21
agent_tool_hallucination,full,329,41687,2e352a7e54de473453bd71135376e107f6a9e59dd773ff3b5248cd53dabc956d,2026-06-04,2026-07-21
agent_tool_hallucination,latest,38,5058,a711b5e6a8542264f36aeb827ee877d782cb2e3c09e0c3cdb887c6ec1fbf3190,2026-07-21,2026-07-21
document,full,347,48152,bf482e11f52af89559398d961322385314a3a692a576e683ff274c6788482812,2026-03-03,2026-07-21
document,latest,32,4588,89177492a67f073a06a7c9768efdce17e876c076a1dfcd9952a7526b16d90725,2026-07-21,2026-07-21
document_style_control,full,347,48150,ac5fdc71b39d5f07bce210a84b5d7e9d309f2a36c92cbdec65e6bbd3308bc2c6,2026-03-03,2026-07-21
document_style_control,latest,32,4579,ed17932dd3ffb91477b45ce4c363e717c1849c1724e35d74df7adb703d9d6a2a,2026-07-21,2026-07-21
image_edit,full,2018,293158,977216dba1424f5fec34290c7aa9d36081e474e8285f44a28ec764a7f6fe9014,2025-06-24,2026-07-10
image_edit,latest,92,13662,014539312dc0576c8da2fe96a7294faadb36371f4f825a0c8087b56a0c90d36b,2026-07-10,2026-07-10
image_to_video,full,1029,139777,09c86f33ed813af8587f1afb2b817fe714d445499d1f7d37506699e13ae0c0ab,2025-08-07,2026-06-23
image_to_video,latest,42,5899,cb717399305919bcdf7dfa988ef9fc9375ab552b81f90757ba1e380981f209cd,2026-06-23,2026-06-23
search,full,988,138948,1e1d20554cf007c40f226e4470988c38eb8be5c9a4596005d939623ada34c23a,2025-08-07,2026-07-21
search,latest,182,25876,3897fec352826a7e9a3f7bbf686c79f57e1c94e9aee9e0e059189c5d675264a7,2026-07-21,2026-07-21
search_style_control,full,688,96539,8d248d3b311c9fabf8bddd3d19e529c6efd0b0924730fc024f08a19c2da22f83,2025-08-07,2026-07-21
search_style_control,latest,32,4644,0e4c5fa6ca9e334b8d4f9ffe2eb02b9fad75f83a907d0b234c35d049c55647ad,2026-07-21,2026-07-21
text,full,1028993,157587531,35445817db346d7f0831dea3bf33e6365ccde17142eabb2c55d361213033527d,2023-05-08,2026-07-21
text,latest,25056,3886031,527df9d490b101485cdf50c3d2a44133bee6fa179e50fd3062b080478cd5e51a,2026-07-21,2026-07-21
text_style_control,full,829768,126312778,166194168ef113c8d48aeaeba78a5ff73bc7c9ba232b8499468e6d51add20217,2024-08-28,2026-07-21
text_style_control,latest,9956,1523520,76d6bcbee70fe08b066f0762a1b41eb9d96371315a3f22d8e9bcab10d30f66cb,2026-07-21,2026-07-21
text_to_image,full,14723,2103631,ef43e0b998817b96f842e2149d3388ad02b0f8fcdf3a4fd3d0399512c9a2f311,2025-01-05,2026-07-10
text_to_image,latest,616,88125,5ffec34527a4f544bc75a072b4ed2971914c9144a0509159d776e0e9926bb733,2025-01-24,2026-07-10
text_to_video,full,1037,138943,32e2cab54b7ef72f74c8bfedca7a3631c9bf35f99fad04379107d439fa16a932,2025-08-07,2026-07-07
text_to_video,latest,42,5821,28c7d267ecbaf21b3fb851cae2007c5b889c98dcc5ffde39ab2d095b0fdf2997,2026-07-07,2026-07-07
video_edit,full,28,3890,b77d031bb0ca7e496a21d18c4dd2a3cc6713aff53e2a4c1c1bc9aa6132906567,2026-03-17,2026-06-30
video_edit,latest,7,1087,05d7f2c4066c0a55bbf6b30fe947f145f95bf3f74241a98a4e9684b732ba51e9,2026-06-30,2026-06-30
vision,full,38185,5391215,8c48373465156647881d369dfcce443b7dc1b43d8400cd8e98323792b1520f9e,2024-06-29,2026-07-21
vision,latest,893,126801,4652eeaa122f27ffcef4e2d6950af49fec7bd2ad78dbe5cda67824a308d193e3,2026-01-09,2026-07-21
vision_style_control,full,33361,4721475,63987daa8be5e2c2f4786cba0efe4e12bd10add7582636350c7a28e5041280e6,2024-10-15,2026-07-21
vision_style_control,latest,893,126867,252e5153e9838ab6a0a7d9ccb68238c0cbc6113c18b8ee288ee8fefb000c8d10,2026-01-09,2026-07-21
webdev,full,11999,1685969,3d134bffcc5bc470de5aa1c8d56988fbd6eb68a4e6e3a43c70bd6673e60b7cb3,2025-11-12,2026-07-21
webdev,latest,415,58585,8523f6b85d100a878da4f32bef33091246ed5bf2bdcc289af667404ecdf99f17,2026-07-17,2026-07-21
