agent_signal,display_name,fleet_id,model_name,score,score_ci_lower,score_ci_upper,observation_count,session_count,rank,category,leaderboard_publish_date
agent,Fable 5,claude-fable-5,Claude Fable 5 (High),0.12719210362270622,0.10716935582095406,0.14721485142445837,831160.0,23549.0,1,overall,2026-07-21
agent,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.10124007408691299,0.08430138944384083,0.11817875872998515,1199345.0,15991.0,2,overall,2026-07-21
agent,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.09748373639417382,0.08358449358479662,0.11138297920355102,1470606.0,34147.0,3,overall,2026-07-21
agent,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.0865679411455157,0.06763854851856768,0.10549733377246373,2170947.0,24359.0,5,overall,2026-07-21
agent,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.07609742171364624,0.06802540473133978,0.0841694386959527,1838053.0,65859.0,9,overall,2026-07-21
agent,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.06422557059911956,0.051862667082351155,0.07658847411588796,1163303.0,34862.0,11,overall,2026-07-21
agent,GPT 5.5,gpt-5.5,GPT 5.5,0.056542044037993414,0.04891253926715841,0.06417154880882842,1435748.0,66796.0,12,overall,2026-07-21
agent,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.03564808653852604,0.019134684934625074,0.05216148814242701,1294213.0,32216.0,15,overall,2026-07-21
agent_bash_recovery_steps,Fable 5,claude-fable-5,Claude Fable 5 (High),0.12972109292689105,0.11669173407606306,0.14275045177771903,16675.0,,2,overall,2026-07-21
agent_bash_recovery_steps,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.11898329395013496,0.10827446236399377,0.12969212553627615,35731.0,,4,overall,2026-07-21
agent_bash_recovery_steps,GPT 5.5,gpt-5.5,GPT 5.5,0.11218639030248079,0.10313916300892464,0.12123361759603693,30920.0,,6,overall,2026-07-21
agent_bash_recovery_steps,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.11142766792079395,0.09789127420831313,0.12496406163327477,22564.0,,7,overall,2026-07-21
agent_bash_recovery_steps,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.10812563824950794,0.0990888822491258,0.11716239424989007,81243.0,,8,overall,2026-07-21
agent_bash_recovery_steps,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.10432228955759038,0.09358790431588845,0.1150566747992923,27671.0,,11,overall,2026-07-21
agent_bash_recovery_steps,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.09817445838210859,0.08418009848836588,0.11216881827585129,22651.0,,12,overall,2026-07-21
agent_bash_recovery_steps,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.08737634443505382,0.0743843988173676,0.10036829005274005,22842.0,,14,overall,2026-07-21
agent_praise_complaint,Fable 5,claude-fable-5,Claude Fable 5 (High),0.23936053521492184,0.1651529383902711,0.31356813203957257,4567.0,,1,overall,2026-07-21
agent_praise_complaint,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.23533710273543929,0.16966332649056737,0.3010108789803112,3228.0,,2,overall,2026-07-21
agent_praise_complaint,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.19415069950258268,0.14364088321414917,0.2446605157910162,6766.0,,4,overall,2026-07-21
agent_praise_complaint,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.16878378300928998,0.0974304475436596,0.24013711847492036,4667.0,,5,overall,2026-07-21
agent_praise_complaint,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.11630875510228911,0.06833724573382455,0.16428026447075367,5838.0,,8,overall,2026-07-21
agent_praise_complaint,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.09939139842011235,0.05725962675226213,0.14152317008796259,8589.0,,11,overall,2026-07-21
agent_praise_complaint,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.09795820080435114,0.06908297726371433,0.12683342434498793,13986.0,,12,overall,2026-07-21
agent_praise_complaint,GPT 5.5,gpt-5.5,GPT 5.5,0.05665459775363968,0.030173843835071608,0.08313535167220776,15029.0,,14,overall,2026-07-21
agent_steerability,Fable 5,claude-fable-5,Claude Fable 5 (High),0.14624514620019208,0.10827036737681296,0.1842199250235712,15406.0,,1,overall,2026-07-21
agent_steerability,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.09775972536385097,0.07200797057845211,0.12351148014924983,24170.0,,2,overall,2026-07-21
agent_steerability,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.09707291082142905,0.06926355494165917,0.12488226670119892,12789.0,,3,overall,2026-07-21
agent_steerability,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.08768283309662789,0.07329957052623207,0.10206609566702371,52170.0,,5,overall,2026-07-21
agent_steerability,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.08250859603472377,0.05628056137760447,0.10873663069184307,20505.0,,7,overall,2026-07-21
agent_steerability,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.06526220893761846,0.042415518409200687,0.08810889946603623,32063.0,,10,overall,2026-07-21
agent_steerability,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.06202270458014915,0.025424586328066927,0.09862082283223136,17909.0,,12,overall,2026-07-21
agent_steerability,GPT 5.5,gpt-5.5,GPT 5.5,0.06075178752270116,0.04688401882119199,0.07461955622421033,58438.0,,13,overall,2026-07-21
agent_task_outcome_explicit,Fable 5,claude-fable-5,Claude Fable 5 (High),0.106742867352706,0.06835768466377783,0.14512805004163415,15705.0,,2,overall,2026-07-21
agent_task_outcome_explicit,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.08897219350146501,0.0628110948339741,0.11513329216895593,23472.0,,3,overall,2026-07-21
agent_task_outcome_explicit,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.08140045376309712,0.04466918030424159,0.11813172722195266,15546.0,,5,overall,2026-07-21
agent_task_outcome_explicit,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.07252313603255522,0.03960614039117686,0.1054401316739336,10571.0,,6,overall,2026-07-21
agent_task_outcome_explicit,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.07101481223904582,0.04375718775103861,0.09827243672705303,19478.0,,7,overall,2026-07-21
agent_task_outcome_explicit,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.06197190429576038,0.0461124251342772,0.07783138345724357,46134.0,,10,overall,2026-07-21
agent_task_outcome_explicit,GPT 5.5,gpt-5.5,GPT 5.5,0.03922656819094683,0.02343903100997489,0.05501410537191877,49142.0,,14,overall,2026-07-21
