display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Fable 5,claude-fable-5,claude-fable-5,1507.2997911402522,1500.9185697314226,1513.6810125490815,10.600136190226213,14646.0,1,overall,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1504.8372083749907,1501.1137732260656,1508.5606435239158,3.609037596228935,63191.0,2,overall,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1497.7589351869728,1494.1265119769923,1501.3913583969531,3.4347624150816434,67037.0,4,overall,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1485.0725888040183,1477.1900783933058,1492.955099214731,16.17457671035661,6221.0,11,overall,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1483.5831574349268,1478.472586912226,1488.6937279576273,6.798961614998561,30901.0,13,overall,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1481.7262226711755,1477.3223797962348,1486.1300655461164,5.048559147033145,45760.0,14,overall,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1476.3228987771622,1471.9556694071082,1480.6901281472162,4.9649607768583826,47180.0,16,overall,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1473.4318258892104,1468.3272872078594,1478.5363645705613,6.782921896505031,31619.0,22,overall,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1461.1483034333235,1454.8939764444276,1467.4026304222193,10.182747729406245,13521.0,38,overall,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1448.8303041402874,1444.4870608281624,1453.173547452412,4.910572610253434,32980.0,57,overall,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1553.0514684490377,1543.0354215184398,1563.0675153796356,26.115390219856973,3992.0,1,coding,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1550.0032074604383,1543.9030439284988,1556.1033709923772,9.686943646496651,16321.0,3,coding,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1548.036853422107,1542.2000350386288,1553.8736718055852,8.868622685261922,18581.0,5,coding,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1533.9055307746985,1526.181184199777,1541.6298773496205,15.531997815019025,8607.0,7,coding,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1529.5755345654989,1521.8697795150497,1537.2812896159485,15.457320687039994,8875.0,10,coding,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1527.8597142733402,1513.2068070892,1542.5126214574802,55.89222713787311,1770.0,12,coding,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1524.5024994249743,1514.2563195667826,1534.748679283166,27.329253439046802,3785.0,15,coding,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1520.0061327662652,1513.205784855682,1526.806480676848,12.038325506927107,12674.0,21,coding,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1507.2390461992222,1500.524523363721,1513.9535690347234,11.736379071824032,13423.0,43,coding,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1497.0996474593203,1489.8329830635957,1504.3663118550448,13.745926718160431,8779.0,58,coding,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1508.236218158684,1496.0069203173477,1520.4655160000204,38.932013246230525,2721.0,1,creative_writing,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1499.8776485808953,1492.77099538773,1506.9843017740607,13.147224001428286,10800.0,2,creative_writing,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1478.2017191653226,1471.2649243903718,1485.1385139402735,12.526262546552847,10914.0,7,creative_writing,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1471.448506787584,1452.3620498172866,1490.5349637578813,94.8319002449141,1062.0,9,creative_writing,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1463.334409976163,1454.2132477123928,1472.4555722399334,21.657293472430023,5479.0,14,creative_writing,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1458.5772933506757,1449.5299426499778,1467.6246440513737,21.308195277394702,5515.0,18,creative_writing,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1448.1817281639273,1440.10720318338,1456.2562531444744,16.972186011797298,7889.0,27,creative_writing,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1447.0488868248815,1439.0405345956583,1455.057239054105,16.695143283019352,8118.0,29,creative_writing,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1428.7855752817206,1416.002930554915,1441.5682200085264,42.5348842297905,2330.0,53,creative_writing,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1405.9167717135424,1396.938235475268,1414.895307951817,20.985286253163927,5097.0,75,creative_writing,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1546.7011342952378,1537.313707789427,1556.0885608010487,22.94018510032503,5238.0,1,expert,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1544.997481516328,1529.5083856450399,1560.4865773876163,62.45338089205613,1551.0,2,expert,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1535.63471181898,1526.9354422917029,1544.3339813462571,19.700143575803807,6342.0,4,expert,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1525.5600464852448,1514.3664692321709,1536.7536237383185,32.61682021568407,3121.0,6,expert,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1523.506522702339,1499.6456571093988,1547.3673882952792,148.20955616582114,631.0,7,expert,2026-07-21
