display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Fable 5,claude-fable-5,claude-fable-5,1507.2997911402522,1500.9185697314226,1513.6810125490815,10.600136190226213,14646.0,1,overall,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1504.8372083749907,1501.1137732260656,1508.5606435239158,3.609037596228935,63191.0,2,overall,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1497.7589351869728,1494.1265119769923,1501.3913583969531,3.4347624150816434,67037.0,4,overall,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1485.0725888040183,1477.1900783933058,1492.955099214731,16.17457671035661,6221.0,11,overall,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1483.5831574349268,1478.472586912226,1488.6937279576273,6.798961614998561,30901.0,13,overall,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1481.7262226711755,1477.3223797962348,1486.1300655461164,5.048559147033145,45760.0,14,overall,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1476.3228987771622,1471.9556694071082,1480.6901281472162,4.9649607768583826,47180.0,16,overall,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1473.4318258892104,1468.3272872078594,1478.5363645705613,6.782921896505031,31619.0,22,overall,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1461.1483034333235,1454.8939764444276,1467.4026304222193,10.182747729406245,13521.0,38,overall,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1448.8303041402874,1444.4870608281624,1453.173547452412,4.910572610253434,32980.0,57,overall,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1554.5405419232416,1532.4644867851507,1576.6165970613324,126.86644142445026,803.0,1,chinese,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1553.7826322823837,1542.1958577554547,1565.369406809313,34.94853132738713,3456.0,2,chinese,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1549.0603340659284,1537.6634117868693,1560.4572563449872,33.8126330380498,3497.0,3,chinese,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1533.2869513142812,1519.477186404658,1547.0967162239044,49.64509988541288,2316.0,6,chinese,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1531.3644683712548,1500.4927082305248,1562.236228511985,248.0999064867144,384.0,7,chinese,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1528.4485184286443,1512.4741593939655,1544.422877463323,66.42792711824877,1549.0,12,chinese,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1525.1685110840695,1511.7997573835285,1538.5372647846102,46.52492291286105,2349.0,15,chinese,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1519.3139309172607,1503.3144389357929,1535.3134228987285,66.63711772362498,1541.0,25,chinese,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1500.1742163118447,1478.683090457389,1521.6653421663004,120.23257622962045,798.0,42,chinese,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1490.6450854262102,1475.2487593913663,1506.0414114610542,61.7075091614236,1718.0,54,chinese,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1553.0514684490377,1543.0354215184398,1563.0675153796356,26.115390219856973,3992.0,1,coding,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1550.0032074604383,1543.9030439284988,1556.1033709923772,9.686943646496651,16321.0,3,coding,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1548.036853422107,1542.2000350386288,1553.8736718055852,8.868622685261922,18581.0,5,coding,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1533.9055307746985,1526.181184199777,1541.6298773496205,15.531997815019025,8607.0,7,coding,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1529.5755345654989,1521.8697795150497,1537.2812896159485,15.457320687039994,8875.0,10,coding,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1527.8597142733402,1513.2068070892,1542.5126214574802,55.89222713787311,1770.0,12,coding,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1524.5024994249743,1514.2563195667826,1534.748679283166,27.329253439046802,3785.0,15,coding,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1520.0061327662652,1513.205784855682,1526.806480676848,12.038325506927107,12674.0,21,coding,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1507.2390461992222,1500.524523363721,1513.9535690347234,11.736379071824032,13423.0,43,coding,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1497.0996474593203,1489.8329830635957,1504.3663118550448,13.745926718160431,8779.0,58,coding,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1508.236218158684,1496.0069203173477,1520.4655160000204,38.932013246230525,2721.0,1,creative_writing,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1499.8776485808953,1492.77099538773,1506.9843017740607,13.147224001428286,10800.0,2,creative_writing,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1478.2017191653226,1471.2649243903718,1485.1385139402735,12.526262546552847,10914.0,7,creative_writing,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1471.448506787584,1452.3620498172866,1490.5349637578813,94.8319002449141,1062.0,9,creative_writing,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1463.334409976163,1454.2132477123928,1472.4555722399334,21.657293472430023,5479.0,14,creative_writing,2026-07-21
