ХРОНИКА СБРОСОВ НЕДЕЛЬНОГО ОКНА CODEX
когда (UTC)      план   было% старый сброс новый сброс  сдвиг,ч  тип
08.08 05:55      prolit   100 08.08 05:53  15.08 05:55    168.0  штатный
08.08 20:36      prolit    26 15.08 06:41  15.08 20:36     13.9  ДОСРОЧНЫЙ (раньше срока на 154.1 ч)
11.08 00:00      prolit    87 16.08 07:16  18.08 00:00     40.7  ДОСРОЧНЫЙ (раньше срока на 127.3 ч)
13.08 03:36      prolit    92 18.08 00:28  20.08 03:36     51.1  ДОСРОЧНЫЙ (раньше срока на 116.9 ч)
16.08 07:20      pro       24 20.08 03:56  23.08 07:20     75.4  ДОСРОЧНЫЙ (раньше срока на 92.6 ч)
23.08 07:31      pro      100 23.08 07:26  30.08 07:28    168.0  штатный
24.08 00:45      pro       61 30.08 07:28  31.08 00:45     17.3  ДОСРОЧНЫЙ (раньше срока на 150.7 ч)
25.08 09:03      pro      100 31.08 00:51  01.09 09:00     32.2  ДОСРОЧНЫЙ (раньше срока на 135.8 ч)
27.08 16:29      pro       35 01.09 14:35  03.09 16:29     49.9  ДОСРОЧНЫЙ (раньше срока на 118.1 ч)
29.08 21:28      pro       56 04.09 02:37  05.09 21:28     42.9  ДОСРОЧНЫЙ (раньше срока на 125.1 ч)
31.08 02:31      pro       28 06.09 04:12  07.09 02:31     22.3  ДОСРОЧНЫЙ (раньше срока на 145.7 ч)
04.09 10:55      pro       99 07.09 03:37  11.09 10:53    103.3  ДОСРОЧНЫЙ (раньше срока на 64.7 ч)
06.09 14:46      pro       99 11.09 10:53  13.09 14:46     51.9  ДОСРОЧНЫЙ (раньше срока на 116.1 ч)
08.09 01:25      pro       68 13.09 15:06  15.09 01:25     34.3  ДОСРОЧНЫЙ (раньше срока на 133.7 ч)
12.09 08:14      pro       99 15.09 01:52  19.09 08:14    102.4  ДОСРОЧНЫЙ (раньше срока на 65.6 ч)
19.09 14:14      plus     100 19.09 14:12  26.09 14:14    168.0  штатный

окно с         по             старт     план   дошло до%      Mtok      usd  ходов  Mtok/пп
08.08 05:55    08.08 20:36    штат      prolit        26      89.1    67.29     51     3.43
08.08 20:36    11.08 00:00    досроч    prolit        87     648.0   470.70    249     7.45
11.08 00:00    13.08 03:36    досроч    prolit        92     755.9   522.16    301     8.22
13.08 03:36    16.08 07:20    досроч    prolit        97     840.1   575.75    261     8.66
16.08 07:20    23.08 07:31    досроч    pro          100    3575.2  2212.39   1275    35.75
23.08 07:31    24.08 00:45    штат      pro           61     906.5   445.01    280    14.86
24.08 00:45    25.08 09:03    досроч    pro          100    1023.1   488.99    112    10.23
25.08 09:03    27.08 16:29    досроч    pro           35     952.9   168.48    142    27.23
27.08 16:29    29.08 21:28    досроч    pro           56     757.5   306.88    119    13.53
29.08 21:28    31.08 02:31    досроч    pro           28     415.4    90.62     98    14.84
31.08 02:31    04.09 10:55    досроч    pro           99    1586.3   624.96    319    16.02
04.09 10:55    06.09 14:46    досроч    pro           99     401.4   193.54     61     4.05
06.09 14:46    08.09 01:25    досроч    pro           68     569.2   701.23    333     8.37
08.09 01:25    12.09 08:14    досроч    pro           99     854.1   938.53    224     8.63
12.09 08:14    19.09 14:14    досроч    pro          100    1543.7  1344.83    360    15.44
19.09 14:14    20.09 04:02    штат      plus           1      10.4     0.31      4    10.37
