model,reasoning_effort,pass_rate,ci_lo,ci_hi,n_runs,n_tasks_attempted,n_attempted,n_passed,pass_at_4,mean_cost_usd,median_cost_usd,mean_output_tokens,median_output_tokens,mean_duration_seconds,median_duration_seconds,mean_agent_steps,median_agent_steps
"claude-fable-5","low",0.5958429561200924,0.5679029016687951,0.6237830105713897,4,113,433,258,0.8141592920353983,3.757873125874126,2.7559204999999998,25242.833718244805,22339.0,634.7057336951501,397.628238,37.79907621247113,29.0
"claude-fable-5","medium",0.6536697247706422,0.6094504359782605,0.6978890135630239,4,113,436,285,0.831858407079646,6.088186528935186,4.62221125,40201.35321100918,35970.5,810.8967150733945,639.0384615,48.36697247706422,41.0
"claude-fable-5","high",0.686046511627907,0.674838084453603,0.6972549388022109,4,113,430,295,0.8672566371681416,9.177638214788733,7.322686000000002,57287.06976744186,52623.5,1062.3037221116278,902.496624,58.73720930232558,49.0
"claude-fable-5","xhigh",0.6991150442477876,0.6666658684930744,0.7315642200025008,4,113,452,316,0.8849557522123894,13.414521495535714,11.341082999999998,80352.1703539823,76035.5,1411.5830643938054,1231.553523,68.40044247787611,61.5
"claude-fable-5","max",0.6972477064220184,0.656912963913939,0.7375824489300977,4,113,436,304,0.8407079646017699,21.634702092592594,19.23457225,118592.77293577982,115631.0,2092.0106240022938,1895.921464,88.4288990825688,79.0
"claude-opus-4-8","low",0.4079822616407982,0.3933464140551067,0.42261810922648974,4,113,451,184,0.6814159292035398,2.293369216740577,1.8240152500000004,28922.736141906873,25291.0,651.8271712993347,517.146142,53.97782705099778,47.0
"claude-opus-4-8","medium",0.48672566371681414,0.4643336050994396,0.5091177223341886,4,113,452,220,0.7610619469026548,3.4438571028761062,2.84043425,41313.45132743363,36647.5,880.0083837986726,729.1386,65.57300884955752,60.0
"claude-opus-4-8","high",0.5176991150442478,0.4720830235866894,0.5633152065018062,4,113,452,234,0.7787610619469026,4.281940017699115,3.6635345,50063.52654867257,44476.0,1066.903783732301,887.7987455,72.5,67.0
"claude-opus-4-8","xhigh",0.5436241610738255,0.5064898547928808,0.5807584673547702,4,113,447,243,0.8053097345132744,8.006355704138702,7.049357750000001,86088.7874720358,77961.0,2198.774075261745,1829.190182,94.64429530201342,90.0
"claude-opus-4-8","max",0.5897435897435898,0.5720954362692973,0.6073917432178823,4,111,429,253,0.7927927927927928,13.222583593240094,12.353505999999996,135031.67132867133,129180.0,3492.740812641026,2883.384473,120.0,116.0
"claude-opus-5","low",0.5812917594654788,0.5579848799986361,0.6045986389323216,4,113,449,261,0.8495575221238938,1.6626223919821828,1.2162672499999996,19884.3140311804,17613.0,468.87542417149217,333.286568,35.641425389755014,29.0
"claude-opus-5","medium",0.6890380313199105,0.6773124446609795,0.7007636179788415,4,113,447,308,0.8938053097345132,3.28978764541387,2.4819885000000004,36981.530201342284,33436.0,759.2254874630873,587.101605,52.29530201342282,43.0
"claude-opus-5","high",0.7282850779510023,0.7088307563794007,0.7477393995226038,4,113,449,327,0.8761061946902655,6.076084489977728,4.96882375,64207.43429844098,59856.0,1163.8627881514476,1006.103652,72.92204899777283,64.0
"claude-opus-5","xhigh",0.7315436241610739,0.7009338059446892,0.7621534423774585,4,113,447,327,0.8584070796460177,9.07220232326622,7.928816750000001,91672.01565995526,87322.0,1559.5597273221476,1448.063854,88.7248322147651,80.0
"claude-opus-5","max",0.7364864864864865,0.6977633822227692,0.7752095907502038,4,113,444,327,0.8849557522123894,11.837583271396396,10.4281505,117565.6936936937,113366.5,1911.819866231982,1801.1237265,99.0427927927928,90.5
"gpt-5-6-sol","low",0.45353982300884954,0.42965787629426033,0.47742176972343875,4,113,452,205,0.7168141592920354,1.0742664646017699,0.944557,10579.141592920354,10062.5,262.2510164579646,211.1408625,23.358407079646017,21.0
"gpt-5-6-sol","medium",0.6106194690265486,0.5947858925334765,0.6264530455196208,4,113,452,276,0.8053097345132744,1.8620318075221238,1.545414,18425.216814159292,17645.0,423.3752944181416,354.895511,30.913716814159294,26.0
"gpt-5-6-sol","high",0.6940133037694013,0.679691851565629,0.7083347559731736,4,113,451,313,0.8672566371681416,3.4698331108647453,2.979421,28450.31929046563,27700.0,594.230510789357,517.298681,36.889135254988915,32.0
"gpt-5-6-sol","xhigh",0.7073170731707317,0.6991259559533886,0.7155081903880748,4,113,451,319,0.8584070796460177,4.703663860310422,4.117039,40744.59201773836,39449.0,800.5459875388026,694.028368,44.0,39.0
"gpt-5-6-sol","max",0.7266666666666667,0.6983684441682949,0.7549648891650385,4,113,450,327,0.8584070796460177,8.386436346666667,6.8414715,60013.64444444444,58786.5,1128.624910331111,1013.6291865000001,61.25333333333333,53.0
