session	role	backend	model	ts	turn	reason	inner	cost_usd	ctx_pct
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:05:16.533654+00:00	0	end_turn	0	0.14	28
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:05:36.496848+00:00	1	end_turn	0	0.06	28
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:25:19.437912+00:00	2	end_turn	0	0.29	28
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:27:23.391772+00:00	3	end_turn	0	0.61	35
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:29:30.159403+00:00	4	end_turn	0	0.42	40
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:39:59.832285+00:00	5	end_turn	0	0.19	40
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:40:56.856116+00:00	6	end_turn	0	0.35	43
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:50:28.272255+00:00	7	end_turn	0	0.2	44
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T11:51:51.906171+00:00	8	end_turn	0	0.38	47
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T12:08:50.579680+00:00	9	end_turn	0	0.23	49
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T12:27:16.189307+00:00	10	end_turn	0	0.34	51
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:10:20.341070+00:00	11	end_turn	0	0.66	51
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:25:44.892613+00:00	12	end_turn	0	0.15	51
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:36:19.818672+00:00	13	end_turn	0	1.27	63
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:42:49.043985+00:00	14	end_turn	0	0.43	67
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:45:37.709158+00:00	15	end_turn	0	0.43	70
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:52:44.383566+00:00	16	end_turn	0	0.82	73
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T13:59:14.624408+00:00	17	end_turn	0	0.57	75
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T14:02:08.326251+00:00	18	end_turn	0	0.46	77
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-18T14:04:45.142116+00:00	19	end_turn	0	0.53	80
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T06:55:54.485304+00:00	20	end_turn	0	1.63	28
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T07:15:05.472864+00:00	21	end_turn	0	0.39	32
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T07:25:52.195629+00:00	22	end_turn	0	0.68	35
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T07:38:44.852061+00:00	23	end_turn	0	0.29	37
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T08:09:35.720020+00:00	24	end_turn	0	0.9	41
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T08:37:08.051106+00:00	25	end_turn	0	0.61	46
Sensar-orchestrator	orchestrator	claude	claude-opus-5[1m]	2026-07-19T08:38:02.655622+00:00	26	end_turn	0	0.7	45
