log_id,ts_utc,kind,details
43799,2026-08-09T07:31:22.816627+00:00,bubblewrap_system_missing_bundled_fallback,
43801,2026-08-09T07:31:22.816969+00:00,thread_started,019fe56e-f44f-73a3-b92c-48b6ebde1dbc
43798,2026-08-09T07:31:22.817105+00:00,mcp_cancelled,
43802,2026-08-09T07:31:22.901590+00:00,turn_start,019fe56e-f83e-7162-9fca-c647341fcd87
44188,2026-08-09T07:42:04.539056+00:00,context_compact_start,
44249,2026-08-09T07:44:13.053124+00:00,context_compact_end,
44430,2026-08-09T07:55:16.204999+00:00,turn_end,reason=end_turn;ctx_pct=51
44429,2026-08-09T07:55:16.206418+00:00,waiting_for_bg,
44462,2026-08-09T07:56:29.911901+00:00,turn_start,019fe585-f722-7100-bd86-78aedfc22c50
44472,2026-08-09T07:57:00.696811+00:00,turn_end,reason=end_turn;ctx_pct=53
44473,2026-08-09T07:57:00.702610+00:00,waiting_for_bg,
44492,2026-08-09T07:58:22.149595+00:00,turn_start,019fe587-ad90-7722-bf30-2ae89e6f70d7
44598,2026-08-09T08:05:10.697287+00:00,turn_end,reason=end_turn;ctx_pct=60
44600,2026-08-09T08:05:10.702800+00:00,waiting_for_bg,
44599,2026-08-09T08:05:10.703203+00:00,precompact_scheduled,
44603,2026-08-09T08:06:02.769365+00:00,precompact_cancelled,
44605,2026-08-09T08:06:02.853139+00:00,turn_start,019fe58e-b521-70f3-86e6-9c4f10ba541c
44666,2026-08-09T08:14:11.813935+00:00,turn_end,reason=end_turn;ctx_pct=63
44664,2026-08-09T08:14:11.818758+00:00,waiting_for_bg,
44665,2026-08-09T08:14:11.819043+00:00,precompact_scheduled,
44694,2026-08-09T08:15:05.579146+00:00,precompact_cancelled,
44696,2026-08-09T08:15:05.634004+00:00,turn_start,019fe596-fd74-7573-8660-2b394a40753f
44729,2026-08-09T08:16:21.126806+00:00,turn_end,reason=end_turn;ctx_pct=64
44731,2026-08-09T08:16:21.130567+00:00,waiting_for_bg,
44730,2026-08-09T08:16:21.130787+00:00,precompact_scheduled,
44734,2026-08-09T08:16:39.835740+00:00,precompact_cancelled,
44736,2026-08-09T08:16:39.874692+00:00,turn_start,019fe598-6da0-7b23-a3c7-1c1086eee70a
44759,2026-08-09T08:17:55.606612+00:00,turn_end,reason=end_turn;ctx_pct=66
44758,2026-08-09T08:17:55.611955+00:00,precompact_scheduled,
44777,2026-08-09T08:19:25.017784+00:00,precompact_cancelled,
44780,2026-08-09T08:19:25.112042+00:00,turn_start,019fe59a-f2e6-7e83-8c6d-e3f45a2de84c
44962,2026-08-09T08:39:00.462948+00:00,turn_end,reason=end_turn;ctx_pct=87
44963,2026-08-09T08:39:00.468657+00:00,waiting_for_bg,
44964,2026-08-09T08:39:00.469220+00:00,precompact_scheduled,
44969,2026-08-09T08:39:57.729852+00:00,precompact_cancelled,
44971,2026-08-09T08:39:57.779529+00:00,turn_start,019fe5ad-c229-7480-8f40-d332341e753a
44974,2026-08-09T08:40:07.234047+00:00,context_compact_start,
44975,2026-08-09T08:40:55.786521+00:00,context_compact_end,
45029,2026-08-09T08:43:53.428852+00:00,turn_end,reason=end_turn;ctx_pct=27
45030,2026-08-09T08:43:53.431927+00:00,waiting_for_bg,
45035,2026-08-09T08:44:10.765105+00:00,turn_start,019fe5b1-9e69-7051-99fb-55a3ccf26a06
45058,2026-08-09T08:45:23.667502+00:00,turn_end,reason=end_turn;ctx_pct=30
45057,2026-08-09T08:45:23.671940+00:00,waiting_for_bg,
45060,2026-08-09T08:45:38.123723+00:00,turn_start,019fe5b2-f3aa-7202-af0f-705b74365592
45086,2026-08-09T08:46:49.452191+00:00,turn_end,reason=end_turn;ctx_pct=32
45255,2026-08-09T09:13:30.085744+00:00,turn_start,019fe5cc-768f-7b72-be1a-29e043f6afdf
45330,2026-08-09T09:17:41.018685+00:00,message_steered,
45685,2026-08-09T09:51:34.509907+00:00,turn_end,reason=end_turn;ctx_pct=70
45684,2026-08-09T09:51:34.513975+00:00,waiting_for_bg,
45683,2026-08-09T09:51:34.514409+00:00,precompact_scheduled,
45686,2026-08-09T09:52:22.594191+00:00,precompact_cancelled,
45688,2026-08-09T09:52:22.641495+00:00,turn_start,019fe5f0-0e4c-7a30-a775-de93381ec714
45707,2026-08-09T09:54:39.775312+00:00,turn_end,reason=end_turn;ctx_pct=74
45706,2026-08-09T09:54:39.778804+00:00,waiting_for_bg,
45705,2026-08-09T09:54:39.779094+00:00,precompact_scheduled,
45709,2026-08-09T09:55:13.957448+00:00,precompact_cancelled,
45710,2026-08-09T09:55:14.007600+00:00,turn_start,019fe5f2-abaa-7240-b34e-9f355926ec91
45719,2026-08-09T09:56:44.788488+00:00,turn_end,reason=end_turn;ctx_pct=75
45720,2026-08-09T09:56:44.793968+00:00,waiting_for_bg,
45721,2026-08-09T09:56:44.794314+00:00,precompact_scheduled,
45722,2026-08-09T09:57:12.300960+00:00,precompact_cancelled,
45724,2026-08-09T09:57:12.344992+00:00,turn_start,019fe5f4-79f5-73f3-ba22-fa8879d4867f
45732,2026-08-09T09:58:18.434896+00:00,turn_end,reason=end_turn;ctx_pct=76
45734,2026-08-09T09:58:18.440379+00:00,waiting_for_bg,
45733,2026-08-09T09:58:18.440758+00:00,precompact_scheduled,
45736,2026-08-09T09:58:48.531479+00:00,precompact_cancelled,
45737,2026-08-09T09:58:48.563720+00:00,turn_start,019fe5f5-f1d9-7853-8773-b10bedeb7b48
45751,2026-08-09T10:00:20.545284+00:00,turn_end,reason=end_turn;ctx_pct=79
45753,2026-08-09T10:00:20.558044+00:00,waiting_for_bg,
45752,2026-08-09T10:00:20.558457+00:00,precompact_scheduled,
45755,2026-08-09T10:00:53.982315+00:00,precompact_cancelled,
45756,2026-08-09T10:00:54.020919+00:00,turn_start,019fe5f7-dbe3-78c0-9d7f-afd0309a5ba6
45767,2026-08-09T10:01:41.614598+00:00,turn_end,reason=end_turn;ctx_pct=80
45768,2026-08-09T10:01:41.619244+00:00,waiting_for_bg,
45769,2026-08-09T10:01:41.619500+00:00,precompact_scheduled,
45770,2026-08-09T10:01:58.799264+00:00,precompact_cancelled,
45772,2026-08-09T10:01:58.873715+00:00,turn_start,019fe5f8-d912-7f42-b28a-74a948c949cc
45779,2026-08-09T10:02:30.228771+00:00,turn_end,reason=end_turn;ctx_pct=80
45780,2026-08-09T10:02:30.233834+00:00,waiting_for_bg,
45781,2026-08-09T10:02:30.234295+00:00,precompact_scheduled,
45782,2026-08-09T10:02:42.752242+00:00,precompact_cancelled,
45784,2026-08-09T10:02:42.811753+00:00,turn_start,019fe5f9-84c6-70f2-bbf1-40810feeceee
45794,2026-08-09T10:03:40.744786+00:00,context_compact_start,
45801,2026-08-09T10:04:07.504449+00:00,message_steered,
45806,2026-08-09T10:04:18.710892+00:00,context_compact_end,
45950,2026-08-09T10:51:39.519971+00:00,message_steered,
45970,2026-08-09T10:52:29.249497+00:00,message_steered,
45976,2026-08-09T10:52:52.271095+00:00,turn_end,reason=end_turn;ctx_pct=69
45977,2026-08-09T10:52:52.275478+00:00,waiting_for_bg,
45978,2026-08-09T10:52:52.275927+00:00,precompact_scheduled,
45993,2026-08-09T10:54:09.100662+00:00,precompact_cancelled,
45995,2026-08-09T10:54:09.148969+00:00,turn_start,019fe628-9cd3-7202-9b27-412fe9ef87f1
46002,2026-08-09T10:54:37.224937+00:00,turn_end,reason=end_turn;ctx_pct=69
46004,2026-08-09T10:54:37.230174+00:00,waiting_for_bg,
46003,2026-08-09T10:54:37.230567+00:00,precompact_scheduled,
46044,2026-08-09T11:02:44.715483+00:00,precompact_cancelled,
46047,2026-08-09T11:02:44.756148+00:00,turn_start,019fe630-7af2-70d0-a022-1b3ec7bed73f
46059,2026-08-09T11:03:24.737901+00:00,turn_end,reason=end_turn;ctx_pct=71
46061,2026-08-09T11:03:24.742553+00:00,waiting_for_bg,
46060,2026-08-09T11:03:24.743050+00:00,precompact_scheduled,
46067,2026-08-09T11:03:34.735455+00:00,precompact_cancelled,
46069,2026-08-09T11:03:34.774293+00:00,turn_start,019fe631-3e55-7d01-9161-35d052780a8c
46071,2026-08-09T11:03:42.307454+00:00,turn_end,reason=end_turn;ctx_pct=71
46072,2026-08-09T11:03:42.310991+00:00,waiting_for_bg,
46073,2026-08-09T11:03:42.311238+00:00,precompact_scheduled,
46084,2026-08-09T11:07:19.321422+00:00,precompact_cancelled,
46086,2026-08-09T11:07:19.370970+00:00,turn_start,019fe634-aba1-7e92-a9b1-e71424c9de47
46103,2026-08-09T11:09:13.218958+00:00,turn_end,reason=end_turn;ctx_pct=76
46104,2026-08-09T11:09:13.230655+00:00,waiting_for_bg,
46105,2026-08-09T11:09:13.231022+00:00,precompact_scheduled,
46106,2026-08-09T11:09:48.436625+00:00,precompact_cancelled,
46108,2026-08-09T11:09:48.509870+00:00,turn_start,019fe636-f221-70c1-86c0-b3788f6342d7
46126,2026-08-09T11:14:44.930780+00:00,context_compact_start,
46127,2026-08-09T11:16:06.598034+00:00,context_compact_end,
46171,2026-08-09T11:23:48.963944+00:00,message_steered,
46607,2026-08-09T12:05:07.760302+00:00,context_compact_start,
46615,2026-08-09T12:06:52.966331+00:00,context_compact_end,
46774,2026-08-09T12:36:35.723946+00:00,turn_end,reason=end_turn;ctx_pct=57
46775,2026-08-09T12:36:35.726562+00:00,waiting_for_bg,
46783,2026-08-09T12:52:12.509355+00:00,turn_start,019fe694-b210-7c52-979b-293f34f5576c
46850,2026-08-09T13:28:57.344033+00:00,message_steered,
46862,2026-08-09T13:31:22.305683+00:00,message_steered,
46893,2026-08-09T13:36:09.234008+00:00,turn_end,reason=end_turn;ctx_pct=74
46891,2026-08-09T13:36:09.239144+00:00,waiting_for_bg,
46892,2026-08-09T13:36:09.243695+00:00,precompact_scheduled,
46940,2026-08-09T13:39:15.913500+00:00,precompact_cancelled,
46942,2026-08-09T13:39:15.988356+00:00,turn_start,019fe6bf-c758-7ac2-bba5-6de911a9c0ab
46982,2026-08-09T13:43:13.416480+00:00,turn_end,reason=end_turn;ctx_pct=77
46984,2026-08-09T13:43:13.421960+00:00,waiting_for_bg,
46983,2026-08-09T13:43:13.422599+00:00,precompact_scheduled,
46990,2026-08-09T13:44:10.575460+00:00,precompact_cancelled,
46992,2026-08-09T13:44:10.626430+00:00,turn_start,019fe6c4-4659-7d21-9506-0aa955e6d976
47133,2026-08-09T13:49:45.102085+00:00,message_steered,
47207,2026-08-09T13:54:49.353572+00:00,turn_end,reason=end_turn;ctx_pct=82
47206,2026-08-09T13:54:49.357168+00:00,precompact_scheduled,
