log_id,ts_utc,bytes,preceding_tool
43845,2026-08-09T07:32:37.037839+00:00,87948,Bash
43847,2026-08-09T07:32:41.070351+00:00,21393,Bash
43854,2026-08-09T07:32:46.569176+00:00,37490,Bash
43858,2026-08-09T07:32:55.644475+00:00,29065,Bash
43867,2026-08-09T07:33:08.394787+00:00,24457,Bash
43871,2026-08-09T07:33:12.091869+00:00,19896,Bash
43887,2026-08-09T07:33:36.329021+00:00,23530,mcp__orchestra__search_memory
43967,2026-08-09T07:35:06.885071+00:00,23505,Bash
44043,2026-08-09T07:36:56.487626+00:00,44609,Bash
44094,2026-08-09T07:39:14.395001+00:00,24081,Bash
44150,2026-08-09T07:40:35.385830+00:00,17506,Bash
44155,2026-08-09T07:40:43.260023+00:00,43301,Bash
44276,2026-08-09T07:45:17.770040+00:00,43836,Bash
44278,2026-08-09T07:45:28.135603+00:00,60851,Bash
44297,2026-08-09T07:46:13.703301+00:00,37749,Bash
44805,2026-08-09T08:21:37.786406+00:00,52402,Bash
44986,2026-08-09T08:41:17.032474+00:00,28995,Bash
45011,2026-08-09T08:42:54.880195+00:00,22642,Bash
45286,2026-08-09T09:16:07.684346+00:00,32292,Bash
45327,2026-08-09T09:17:40.712237+00:00,40778,Bash
45823,2026-08-09T10:05:11.031323+00:00,22059,Bash
45826,2026-08-09T10:05:16.820027+00:00,21678,Bash
45828,2026-08-09T10:05:20.325704+00:00,18399,Bash
46134,2026-08-09T11:16:34.093239+00:00,41419,Bash
46136,2026-08-09T11:16:39.648270+00:00,47553,Bash
46138,2026-08-09T11:16:45.217033+00:00,80409,Bash
46140,2026-08-09T11:16:51.163514+00:00,40477,Bash
46147,2026-08-09T11:17:35.432348+00:00,27670,Bash
46149,2026-08-09T11:17:40.717463+00:00,19213,Bash
46153,2026-08-09T11:19:15.051399+00:00,22044,Bash
46215,2026-08-09T11:29:59.513290+00:00,21684,Bash
46404,2026-08-09T11:42:12.392421+00:00,25093,Bash
46472,2026-08-09T11:45:35.561744+00:00,22560,Bash
46680,2026-08-09T12:11:24.419506+00:00,30995,Bash
46686,2026-08-09T12:11:50.191072+00:00,19218,Bash
46692,2026-08-09T12:12:09.976482+00:00,18444,Bash
46709,2026-08-09T12:18:48.654469+00:00,19749,Bash
46758,2026-08-09T12:34:47.049027+00:00,61504,Bash
46795,2026-08-09T12:53:42.044634+00:00,18721,Bash
