table,columns,rows_at_cutoff
artifacts,16,0
bg_jobs,15,128
fan_barriers,10,7
fan_members,4,17
improvement_rules,9,0
inbox,6,0
initial_deliveries,14,34
jobs,8,0
kv,2,3
logs,9,158775
mailbox,8,0
merge_operations,31,196
openrouter_attempts,4,0
profiles,3,1
quota_alert_state,6,2
quota_controller_decisions,17,78
quota_controller_evidence_sets,11,0
quota_controller_inflight_reservations,7,0
quota_controller_outcomes,8,78
quota_controller_reserve_intents,13,0
quota_silence,4,0
restart_inbox,9,0
runtime_handoff_attempts,14,0
runtime_handoffs,19,0
runtime_routing_decisions,9,0
runtime_routing_latches,5,0
sessions,52,479
sqlite_sequence,2,9
subagents,17,4429
test_lock,5,0
tm_clients,6,1
tm_payment_allocations,5,3
tm_payments,6,2
tm_projects,8,19
tm_sync_log,11,488
tm_tasks,19,611
tool_errors,8,1746
turn_usage,20,4305
undelivered_facts,5,0
usage_snapshots,9,12066
voice_costs,8,71
