path,methods,owner,route_usage_30d,route_usage_60d,route_usage_90d,observation_gap
/openapi.json,GET,fastapi.applications:openapi,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/docs,GET,fastapi.applications:swagger_ui_html,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/docs/oauth2-redirect,GET,fastapi.applications:swagger_ui_redirect,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/redoc,GET,fastapi.applications:redoc_html,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/tasks,POST,app.routes.tm:tm_create_task,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/tasks,GET,app.routes.tm:tm_list_tasks,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/tasks/{par},GET,app.routes.tm:tm_get_task,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/tasks/{par},PUT,app.routes.tm:tm_update_task,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/payments,POST,app.routes.tm:tm_receive_payment,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/payments/status,GET,app.routes.tm:tm_payment_status,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/payments/history,GET,app.routes.tm:tm_payment_history,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/sync/log,GET,app.routes.tm:tm_sync_log,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tm/sync/retry/{sync_id},POST,app.routes.tm:tm_sync_retry,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/bg/jobs,POST,app.routes.bg:bg_job_create,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/bg/jobs,GET,app.routes.bg:bg_job_list,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/bg/jobs/{job_id},DELETE,app.routes.bg:bg_job_cancel,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/proxy/list,GET,app.routes.proxy:proxy_list,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/proxy/check/{proxy_id},POST,app.routes.proxy:proxy_check,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/proxy/set-env,POST,app.routes.proxy:proxy_set_env,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tunnel/status,GET,app.routes.proxy:api_tunnel_status,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions,GET,app.routes.sessions:list_sessions,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions,POST,app.routes.sessions:create_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name},GET,app.routes.sessions:get_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/initial-deliveries,POST,app.routes.sessions:accept_initial_delivery,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/initial-deliveries/{delivery_id},GET,app.routes.sessions:get_initial_delivery,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/prompt,GET,app.routes.sessions:get_session_prompt,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/prompt-blocks,GET,app.routes.sessions:get_prompt_blocks,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/context,GET,app.routes.sessions:get_session_context,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/stream,GET,app.routes.sessions:stream_session_logs,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/logs,GET,app.routes.sessions:get_session_logs,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/logs/sync,GET,app.routes.sessions:logs_sync,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/logs/{log_id},GET,app.routes.sessions:get_single_log,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
