display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Fable 5,claude-fable-5,claude-fable-5,1633.6667022089,1621.479314146302,1645.854090271498,38.66563061621394,3021,2,overall,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh (codex-harness),1629.690897236962,1618.8443528610865,1640.5374416128373,30.62574151883691,4063,3,overall,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1565.4824323458981,1557.1533377062956,1573.8115269855004,18.059237584881544,7978,5,overall,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1543.73583278737,1533.1133333786029,1554.358332196137,29.373604913163945,3554,9,overall,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1542.3852048801582,1536.295475582847,1548.4749341774695,9.653833255937554,13522,10,overall,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1535.9164281709877,1530.0135719157497,1541.8192844262257,9.07043745524424,14739,13,overall,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1534.0717961864243,1525.862878531167,1542.2807138416817,17.541859021833766,6638,14,overall,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high (codex-harness),1483.111956474316,1476.2272290449616,1489.9966839036706,12.33892486915738,11671,25,overall,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5 (codex-harness),1451.249168457254,1444.3101800462796,1458.1881568682284,12.534186207659769,9841,33,overall,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1406.4432861607347,1394.3815089336235,1418.5050633878457,37.87271364011812,2966,46,overall,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1370.9863371012639,1360.2140246294964,1381.7586495730313,30.2079812399056,3577,62,overall,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1626.6720114497857,1611.4576594181528,1641.8863634814188,60.257448679517395,1930,1,image_to_webdev,2026-07-17
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1546.535670058342,1535.6070734912669,1557.4642666254172,31.090850768069753,5279,4,image_to_webdev,2026-07-17
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1537.4255827384843,1526.2444531938686,1548.6067122831,32.54431811685749,5273,6,image_to_webdev,2026-07-17
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1533.3805669932337,1517.5359775155714,1549.225156470896,65.35304097579335,1492,7,image_to_webdev,2026-07-17
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high (codex-harness),1510.0136393833623,1499.1334045123342,1520.89387425439,30.816290470436662,4607,12,image_to_webdev,2026-07-17
GPT 5.5,gpt-5.5,gpt-5.5 (codex-harness),1494.6561171798442,1483.3804693564412,1505.931765003247,33.09686235669142,4344,13,image_to_webdev,2026-07-17
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1440.4848395642482,1426.111183092453,1454.8584960360433,53.78217234978616,2498,20,image_to_webdev,2026-07-17
Fable 5,claude-fable-5,claude-fable-5,1633.6667022089,1621.479314146302,1645.854090271498,38.66563061621394,3021,2,webdev,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh (codex-harness),1629.690897236962,1618.8443528610865,1640.5374416128373,30.62574151883691,4063,3,webdev,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1565.4824323458981,1557.1533377062956,1573.8115269855004,18.059237584881544,7978,5,webdev,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1543.73583278737,1533.1133333786029,1554.358332196137,29.373604913163945,3554,9,webdev,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1542.3852048801582,1536.295475582847,1548.4749341774695,9.653833255937554,13522,10,webdev,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1535.9164281709877,1530.0135719157497,1541.8192844262257,9.07043745524424,14739,13,webdev,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1534.0717961864243,1525.862878531167,1542.2807138416817,17.541859021833766,6638,14,webdev,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high (codex-harness),1483.111956474316,1476.2272290449616,1489.9966839036706,12.33892486915738,11671,25,webdev,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5 (codex-harness),1451.249168457254,1444.3101800462796,1458.1881568682284,12.534186207659769,9841,33,webdev,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1406.4432861607347,1394.3815089336235,1418.5050633878457,37.87271364011812,2966,46,webdev,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1370.9863371012639,1360.2140246294964,1381.7586495730313,30.2079812399056,3577,62,webdev,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1667.5896442208752,1628.670753382358,1706.5085350593924,394.2981390144703,333,1,webdev-html,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh (codex-harness),1609.06733631257,1575.6715853152089,1642.4630873099313,290.3262111439816,414,3,webdev-html,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1548.6681408909963,1525.732345609029,1571.6039361729636,136.940347344726,757,7,webdev-html,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1546.4727079179702,1531.472892563834,1561.4725232721062,58.570056626956955,1812,9,webdev-html,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1540.4472588480855,1526.3462551814378,1554.5482625147333,51.76114431727457,1932,10,webdev-html,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1534.9305391198734,1502.0542319613987,1567.806846278348,281.36487278108353,372,11,webdev-html,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1523.6810355115106,1503.1410599943474,1544.2210110286735,109.82561936442177,875,15,webdev-html,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high (codex-harness),1523.0137705792501,1505.4031201460614,1540.624421012439,80.73365436309287,1213,16,webdev-html,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5 (codex-harness),1491.3520711795663,1473.4134951353467,1509.290647223786,83.76830925812335,1216,23,webdev-html,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1423.839192776038,1393.4183447454884,1454.2600408065873,240.90535343303816,396,42,webdev-html,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1419.3151390521202,1387.1521794915354,1451.4780986127048,269.28727235682976,360,44,webdev-html,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh (codex-harness),1642.5765626646075,1629.3989967335624,1655.7541285956527,45.203723890411446,2793,2,webdev-react,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1636.7298528244864,1622.5783137105423,1650.8813919384306,52.132814287803726,2284,3,webdev-react,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1562.7894609932405,1553.451338257386,1572.127583729095,22.699849276043103,4996,5,webdev-react,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1547.0677421678542,1535.1038513358708,1559.0316329998377,37.26050193966455,2793,9,webdev-react,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1536.7653863611163,1527.6986479029765,1545.832124819256,21.39961668350151,5292,11,webdev-react,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1536.752648966802,1530.1657362678952,1543.3395616657085,11.294516205481138,11100,12,webdev-react,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1529.0294525475856,1522.6244138124907,1535.434491282681,10.67941194034614,12192,16,webdev-react,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high (codex-harness),1476.7472829288968,1469.2392868344477,1484.2552790233458,14.674114180423597,8218,24,webdev-react,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5 (codex-harness),1437.5852909948019,1430.0494684857915,1445.1211135038122,14.783087243154647,8026,34,webdev-react,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1395.6225993396863,1382.7548877096008,1408.490310969772,43.1028966659913,2600,45,webdev-react,2026-07-21
GPT 5.3 Codex (not Spark),gpt-5.3-codex,gpt-5.3-codex (codex-harness),1358.2491063036266,1346.8132158008966,1369.6849968063566,34.04425185711137,3153,60,webdev-react,2026-07-21
