backend	session	turns	cost_sum	cost_med	cost_max	calls	calls_per_turn	out_MB	kB_per_call
codex	mobile-os-strategy	8	49.22	9.49	14.31	352	44.0	1.374805	3.814156272194602
claude	sensar-product-platform	24	46.75	0.9	9.79	294	12.25	3.156708	10.485451211734693
claude	sensar-client-offer	3	37.15	9.48	23.9	241	80.33333333333333	2.88141	11.675837979771785
codex	sales	10	35.410000000000004	2.23	11.8	171	17.1	0.346236	1.9773163377192982
codex	sensar-roadmap	6	33.76	3.19	20.86	395	65.83333333333333	0.929579	2.298207575158228
codex	feat-usage-analytics	14	29.14	0.78	9.5	299	21.357142857142858	0.876759	2.863578464673913
codex	fix-tg-drops	10	24.5	2.11	7.6	205	20.5	1.045708	4.981459603658537
codex	seo-cro	12	23.77	1.17	6.55	158	13.166666666666666	0.098414	0.6082748219936709
claude	sensar-concrete-roadmap	11	20.12	1.5	5.6	156	14.181818181818182	0.433155	2.7115572415865383
codex	research-opus5	3	16.41	5.91	8.59	138	46.0	0.509203	3.603395323822464
codex	research-codex-sleep	12	15.799999999999999	0.41	8.04	171	14.25	1.620555	9.254814281798245
codex	research-codex-cost	1	14.92	14.92	14.92	99	99.0	0.38127	3.760949337121212
codex	mcp-direct	5	13.71	4.32	4.83	126	25.2	0.276917	2.146244109623016
claude	research-compress	2	13.66	7.98	7.98	64	32.0	4.205909	64.17707824707031
codex	research-codex-abuse	1	10.23	10.23	10.23	48	48.0	0.174024	3.54052734375
codex	codex-limits-source	1	9.21	9.21	9.21	26	26.0	0.025451	0.9559420072115384
codex	marketer	5	8.450000000000001	1.69	3.24	76	15.2	0.109717	1.4098093133223684
codex	research-spark	1	7.47	7.47	7.47	14	14.0	0.024106	1.6815011160714286
codex	grants-audit	2	7.260000000000001	6.86	6.86	51	25.5	0.2351	4.501761642156863
codex	mobile-os-brief	3	6.99	1.66	3.74	57	19.0	0.445531	7.633138020833333
codex	mcp-yougile	1	6.73	6.73	6.73	64	64.0	0.443053	6.7604522705078125
claude	feat-ru-jobs	5	6.1000000000000005	0.0	5.95	57	11.4	0.117156	2.0071957236842106
codex	batch4-food-services	1	6.03	6.03	6.03	58	58.0	0.097755	1.645928744612069
codex	batch4-auto-home	5	6.0	0.22	5.13	44	8.8	0.085358	1.8944868607954546
codex	research-html-eff	1	5.73	5.73	5.73	63	63.0	0.447005	6.92902095734127
codex	batch4-med-beauty	2	5.63	5.53	5.53	54	27.0	0.054503	0.9856589988425926
codex	os2-regulation	1	5.02	5.02	5.02	6	6.0	0.001293	0.21044921875
codex	upgrade-claude5	3	3.5700000000000003	1.31	1.61	72	24.0	0.059694	0.8096516927083334
codex	investigate-restart	1	3.02	3.02	3.02	41	41.0	0.106309	2.532131288109756
codex	fix-tg-topic-lock	1	1.8	1.8	1.8	37	37.0	0.154539	4.0788376266891895
codex	mcp-mailru	1	1.76	1.76	1.76	30	30.0	0.017877	0.58193359375
claude	feat-followup	1	1.36	1.36	1.36	29	29.0	0.09838	3.3129040948275863
claude	prompt-engineer	1	1.03	1.03	1.03	8	8.0	0.026178	3.195556640625
codex	fix-preview-sandbox	1	0.98	0.98	0.98	16	16.0	0.068216	4.16357421875
codex	impl-opus5	1	0.88	0.88	0.88	10	10.0	0.079772	7.790234375
claude	audit-both-projects	1	0.68	0.68	0.68	45	45.0	0.302972	6.574913194444444
codex	fix-skill-source	1	0.55	0.55	0.55	9	9.0	0.021606	2.3444010416666665
claude	feat-contabo-fix	1	0.34	0.34	0.34	24	24.0	0.013974	0.568603515625
claude	research-subscription	1	0.0	0.0	0.0	67	67.0	0.038501	0.5611736240671642
